"Ajar_GrosCalin.1974" "Gary_Au-DelàDeCetteLimite.1975" "Gary_LaPromesseDlAube.1960" "Gary_LesClownsLyriques.1979" "Gary_LesEnchanteurs.1973" "Gary_LesRacinesDuCiel.1956" "SchwarzBart_LaMulatresse-Solitude.1972" "SchwarzBart_LeDernierDesJustes.1959" "Vailland_LaLoi.1957" "Vailland_LesMauvaisCoups.1948"
"Ajar_GrosCalin.1974" 0 0.947248832409815 1.20194235591294 1.0950781291964 1.43389184859967 1.22400532843573 1.83344782967164 1.56877011801231 1.59670048819018 1.37905157065938
"Gary_Au-DelàDeCetteLimite.1975" 0.947248832409815 0 0.838449044430644 0.811273608905795 1.10386340785437 0.959711076884569 1.77857002969428 1.36594345119669 1.48859865014432 1.14087063958866
"Gary_LaPromesseDlAube.1960" 1.20194235591294 0.838449044430644 0 1.01506588171107 0.825375435840129 0.963121038650901 1.41176053922146 1.20785616079969 1.36145842969581 1.27954834468288
"Gary_LesClownsLyriques.1979" 1.0950781291964 0.811273608905795 1.01506588171107 0 0.970537376660445 0.520268719814799 1.34089072799531 1.00887186871934 1.06360214360198 1.04539886363957
"Gary_LesEnchanteurs.1973" 1.43389184859967 1.10386340785437 0.825375435840129 0.970537376660445 0 0.872442670574117 1.1453850527128 1.05270211438563 1.1863858513454 1.28184221441147
"Gary_LesRacinesDuCiel.1956" 1.22400532843573 0.959711076884569 0.963121038650901 0.520268719814799 0.872442670574117 0 1.28782900324398 1.06181641154601 1.0528374261022 1.08095145801965
"SchwarzBart_LaMulatresse-Solitude.1972" 1.83344782967164 1.77857002969428 1.41176053922146 1.34089072799531 1.1453850527128 1.28782900324398 0 0.795464525418014 1.10726870713915 1.42518864113053
"SchwarzBart_LeDernierDesJustes.1959" 1.56877011801231 1.36594345119669 1.20785616079969 1.00887186871934 1.05270211438563 1.06181641154601 0.795464525418014 0 0.925554191438257 1.07292679524295
"Vailland_LaLoi.1957" 1.59670048819018 1.48859865014432 1.36145842969581 1.06360214360198 1.1863858513454 1.0528374261022 1.10726870713915 0.925554191438257 0 0.85149247424318
"Vailland_LesMauvaisCoups.1948" 1.37905157065938 1.14087063958866 1.27954834468288 1.04539886363957 1.28184221441147 1.08095145801965 1.42518864113053 1.07292679524295 0.85149247424318 0
