"Ajar_LangoisseDuRoiSalomon.1979" "Gary_Au-DelàDeCetteLimite.1975" "Gary_LaPromesseDlAube.1960" "Gary_LesClownsLyriques.1979" "Gary_LesEnchanteurs.1973" "Gary_LesRacinesDuCiel.1956" "SchwarzBart_LaMulatresse-Solitude.1972" "SchwarzBart_LeDernierDesJustes.1959" "Vailland_LaLoi.1957" "Vailland_LesMauvaisCoups.1948"
"de" 2.61691041949737 3.95627453634764 4.31770892777188 4.05580600489113 4.63193338641189 4.13726008446601 4.77716650683894 4.25554583158936 4.39390997452971 3.36684469577966
"la" 1.75994179888519 2.07966698253689 2.28001018410402 2.48681457909779 2.47727574309979 2.13639405476232 3.04850350779791 2.62242684829344 3.38880449556269 2.85370195832024
"et" 2.63081877413902 2.50947610667389 2.78570362501427 2.53101152066944 2.74930334394904 2.16394954533441 2.788573159037 2.22898672044443 1.63672289927244 1.88763221279715
"il" 2.25315345194663 1.72431298226614 0.937639921687752 2.68864727894163 1.48205281316348 2.62002103214995 0.739413516378136 1.97024466344507 2.41682181078889 2.19394701015813
"à" 1.65402432892189 1.74800324895086 2.30547044414985 1.94761189192375 2.0692343418259 1.97837175168566 1.91036188361177 1.80662836269548 2.14270213470698 1.83788878416588
"le" 1.50852154190159 1.38588060105591 1.80592258325066 2.03600577506703 1.81379378980892 1.84396844052794 1.72109221218392 2.17571629694456 2.67951983370073 2.34055922086082
"les" 1.0762926745766 1.10498172465141 1.34675996242417 1.35537287486373 1.80218285562633 1.80629052484774 2.3040428001817 1.4793957611963 2.02163261110413 1.72531155094774
"l" 1.14262482748291 1.41803167727088 1.48459654267227 1.73104687822269 1.57908704883227 1.61002794914044 1.67566749104124 1.65518815874586 1.86744029330805 1.79338150591685
"un" 1.34590077993773 1.57540273453364 1.59170522286507 1.57930404549339 1.31535297239915 1.47168813932956 1.47630343713723 1.60267874129599 1.20498440944342 1.36663524976437
"d" 0.771378745894361 1.36388249627724 1.36256288245261 1.37747134564955 1.42731555201699 1.30523048199614 1.49901579770858 1.44286747079639 1.19470492159035 1.12315425699026
"que" 1.39939445163637 1.46202788682821 1.40470400252847 1.09755738236247 1.60562632696391 1.29285862908623 0.704083177711603 1.08899965754728 0.85548182243898 0.947743219185255
"je" 1.92684205458494 2.49932313523758 2.34673362422412 0.729249535932114 1.24983412951168 0.918891257036491 0.131226972189976 0.458125642098855 0.468287779973273 1.17551576081265
"une" 0.866597481517936 1.17774468661162 1.13693230204648 1.1270220100769 0.976147823779193 1.13314925515822 1.53686973199415 1.2412008675469 0.783525407467477 0.950361294376375
"en" 0.893344317367256 0.959455800731014 1.02631186184736 0.994431185361973 0.979465233545648 0.992560017545537 1.1154292636148 1.11182983904722 0.919443080191427 0.926798617656299
"des" 0.793846088007789 0.854541762555841 0.745371061341668 0.732195998703556 1.07898752653928 1.02405200677078 1.58734164437491 0.824930558197938 1.11817984535082 0.835165985967117
"qu" 1.09234077608619 0.734398267226208 0.66108882118996 1.01358319337635 0.820229564755839 1.13989753856363 0.610710139807197 0.791446291998021 0.933149063995523 0.845638286731595
"pas" 1.52029014967529 1.09482875321511 0.718154921292679 0.878045905889979 0.477707006369427 0.916641829234688 0.441629233331651 0.70393059624824 0.900026269802291 1.04199392606556
"qui" 0.978934192085076 0.700555029105185 0.625971221126748 0.964966557647544 0.996881634819533 0.949820889311281 1.13057083732903 0.759484037898101 0.722990645666054 0.740915279086815
"dans" 0.695417732082295 0.753012048192771 1.01050894181892 0.829429270161172 0.902335456475584 0.76368073871209 0.89840004037753 0.831018606597922 1.06678240608546 0.774950256571369
"ne" 0.987493179556858 1.02037362934886 0.683915261231048 0.847108046789829 0.807789278131635 0.74849710104992 0.474435976379145 0.733609832198166 0.722990645666054 0.916326316891821
"elle" 1.24319293027635 0.544876133748477 0.862137081551847 0.517104216388226 0.431263269639066 0.453822059013738 1.45863826780397 0.581408622198546 1.21183740134547 1.80908995706357
"se" 0.53493671698638 0.521185867063761 0.462674380832814 0.873626211732815 0.701632165605096 0.732188749486849 1.0422449906627 1.12324492979719 0.759539935810309 0.691171850455545
"est" 1.7438936973756 1.05252470556383 0.365223040657401 0.866260054804208 0.41384686836518 0.577540588112899 0.287689900570333 0.529660210798676 0.889746781949219 1.29332914441303
"du" 0.491071906193497 0.577027209963449 0.577684521039832 0.718936916232063 0.667628715498938 0.593286582725519 0.865593297330036 0.82797458239793 1.02109579340514 0.617865745104199
"était" 0.93399950785822 0.582103695681603 0.589975681061956 0.745455081175049 0.682557059447983 0.886274553910349 0.557714631807399 0.362238879799094 0.43059632451201 0.489580060739344
"pour" 0.899763557971092 0.651482333829701 0.63211680113781 0.671793511888977 0.637772027600849 0.80248336829319 0.312925856760713 0.413226285148967 0.585930807625096 0.636192271442036
"s" 0.679369630572703 0.397658047922025 0.388927420700069 0.608444562302955 0.539079087048832 0.58653829932011 0.855498914853884 0.911685247897721 0.695578678057862 0.709498376793381
