"Ajar_LangoisseDuRoiSalomon.1979" "Gary_Au-DelàDeCetteLimite.1975" "Gary_LaPromesseDlAube.1960" "Gary_LesClownsLyriques.1979" "Gary_LesEnchanteurs.1973" "Gary_LesRacinesDuCiel.1956" "SchwarzBart_LaMulatresse-Solitude.1972" "SchwarzBart_LeDernierDesJustes.1959" "Vailland_LaLoi.1957" "Vailland_LesMauvaisCoups.1948"
"Ajar_LangoisseDuRoiSalomon.1979" 0 0.947816083723695 1.46784350353045 1.13176048211395 1.55060461961936 1.26323322255451 2.07348505819266 1.75468288223743 1.75460887116957 1.41855886260059
"Gary_Au-DelàDeCetteLimite.1975" 0.947816083723695 0 0.788179918661945 0.798445077993922 1.02931562536288 0.924929793612927 1.69331573350361 1.30816015991766 1.43063476865213 1.10634726874508
"Gary_LaPromesseDlAube.1960" 1.46784350353045 0.788179918661945 0 0.967460501213871 0.799412310677264 0.90457446689754 1.36394916829538 1.17594260761049 1.3091077640021 1.21994350111988
"Gary_LesClownsLyriques.1979" 1.13176048211395 0.798445077993922 0.967460501213871 0 0.9376630517497 0.497937181915918 1.31268168958322 0.961673187544988 1.02329230892711 1.01666115503134
"Gary_LesEnchanteurs.1973" 1.55060461961936 1.02931562536288 0.799412310677264 0.9376630517497 0 0.833478817920111 1.10956505924895 1.04010260983559 1.13172517544292 1.20998177117459
"Gary_LesRacinesDuCiel.1956" 1.26323322255451 0.924929793612927 0.90457446689754 0.497937181915918 0.833478817920111 0 1.25752776889716 1.03250826393334 1.02770487075057 1.05283988669928
"SchwarzBart_LaMulatresse-Solitude.1972" 2.07348505819266 1.69331573350361 1.36394916829538 1.31268168958322 1.10956505924895 1.25752776889716 0 0.784050710910534 1.06898561856374 1.36850929908282
"SchwarzBart_LeDernierDesJustes.1959" 1.75468288223743 1.30816015991766 1.17594260761049 0.961673187544988 1.04010260983559 1.03250826393334 0.784050710910534 0 0.889852818132219 1.02997830889573
"Vailland_LaLoi.1957" 1.75460887116957 1.43063476865213 1.3091077640021 1.02329230892711 1.13172517544292 1.02770487075057 1.06898561856374 0.889852818132219 0 0.828301349073725
"Vailland_LesMauvaisCoups.1948" 1.41855886260059 1.10634726874508 1.21994350111988 1.01666115503134 1.20998177117459 1.05283988669928 1.36850929908282 1.02997830889573 0.828301349073725 0
