"Arriaga" "Assis_1" "Assis_2" "Caeiro_1" "Caeiro_2" "Campos_1" "Campos_2" "Campos_3" "Campos_4" "Drummond_1" "Drummond_2" "Espanca" "Feijó" "Junqueiro_1" "Junqueiro_2" "Leal_1" "Leal_2" "Nobre_1" "Nobre_2" "Pessoa_1" "Pessoa_2" "Pessoa_3" "Pessoa_4" "Reis_1"
"Arriaga" 0 0.923718153568116 1.03329854218111 1.55400624091276 1.59871028023187 1.47342802165342 1.28971306878181 1.4827974179726 1.32157661840606 1.38938391709992 1.3416108254673 1.28765147104406 1.12846195123628 0.944845303743224 1.12104735536442 1.0046046911365 1.04197299364896 1.23121299588352 1.05275664906519 1.61187892694324 1.43096272051458 1.52296967641435 1.59281451825155 1.3434260159084
"Assis_1" 0.923718153568116 0 0.644971384724391 1.31216958151377 1.43168424798947 1.25718087477174 1.09492037893118 1.26422953365056 1.17816036077711 1.02507513161837 0.95548257770378 1.01070743849399 0.895765242600873 0.801782916079435 0.904631142028338 0.837599459732733 0.875070827485515 0.948813923232391 0.881045680414816 1.27942417449097 1.09151636503486 1.22036039452914 1.32339414303527 1.20645778679471
"Assis_2" 1.03329854218111 0.644971384724391 0 1.3077679915835 1.39493082461708 1.21803641466822 1.12596725044813 1.24941461725161 1.19525753420018 1.09076085669033 1.0287816939037 1.27465030331537 0.837197306886265 0.734511064852317 0.804745013402465 0.744309033755783 0.837965319348691 1.06888598009251 0.848308075766347 1.40869761427923 1.19582968398187 1.31007932997735 1.40029052828509 1.11182434840713
"Caeiro_1" 1.55400624091276 1.31216958151377 1.3077679915835 0 0.562990300453957 0.882636219727732 1.00582383589925 0.919674834636865 0.971088152323544 1.17355950726167 1.16403233744538 1.17463096948184 1.22248337125588 1.29351334083036 1.21008057594833 1.34270318367342 1.25439791592191 1.15649025409771 1.11591404964532 1.05858004851329 0.909412928554299 1.00811148461645 1.00162134233251 1.04990130118231
"Caeiro_2" 1.59871028023187 1.43168424798947 1.39493082461708 0.562990300453957 0 0.943526173406765 1.04792769801532 0.996970980697061 1.01075878258017 1.15795536075575 1.21339165615411 1.28387880624419 1.30305940060341 1.45425685626749 1.31896694358786 1.4094862816989 1.35676097185816 1.32341144314915 1.28216010613984 1.13751937716598 1.01136196519144 1.18828322532211 1.1591339602948 1.07395613920144
"Campos_1" 1.47342802165342 1.25718087477174 1.21803641466822 0.882636219727732 0.943526173406765 0 0.783692926116173 0.587281543131379 0.692573187792343 1.1167708092783 1.05169677211358 1.16176075819574 1.23691586803098 1.20634782657864 1.10834558117832 1.29455067838248 1.30712287999314 1.16571431435036 1.11430437041381 1.0774624923203 0.852552734167534 0.978995631650095 1.0584969700225 1.04657741149152
"Campos_2" 1.28971306878181 1.09492037893118 1.12596725044813 1.00582383589925 1.04792769801532 0.783692926116173 0 0.72643283469374 0.685547019305304 1.0495213637229 0.959924674400739 1.07645715735563 1.13674826465576 1.12711333307117 1.06940906921691 1.06492332408911 1.05997538455359 1.01862197614696 1.00150174673076 1.21787512532763 1.02455991780284 1.11900984838274 1.18906521689063 1.08369303300875
"Campos_3" 1.4827974179726 1.26422953365056 1.24941461725161 0.919674834636865 0.996970980697061 0.587281543131379 0.72643283469374 0 0.695860813706957 1.11126304128974 1.06550105544703 1.12070532186544 1.25244840683724 1.27165389768106 1.1895375334307 1.38816940556129 1.38062579137607 1.12486476648423 1.1134111442204 1.05991322383486 0.870776250510417 0.993748384599503 1.06152362960826 1.0705830627304
"Campos_4" 1.32157661840606 1.17816036077711 1.19525753420018 0.971088152323544 1.01075878258017 0.692573187792343 0.685547019305304 0.695860813706957 0 1.04874568994769 0.960816584827237 1.10200329160808 1.15344129796011 1.21403945651905 1.07404910218214 1.21050927030708 1.26269655265793 1.13526656275602 1.03725591295082 1.02854557650608 0.943241399125788 1.02899687490956 1.0576967547432 1.02599805332019
"Drummond_1" 1.38938391709992 1.02507513161837 1.09076085669033 1.17355950726167 1.15795536075575 1.1167708092783 1.0495213637229 1.11126304128974 1.04874568994769 0 0.542936332772138 1.19129470610405 0.947734583267323 1.15434214874897 1.05435292994149 1.20698883843514 1.13797643668648 1.097366440696 1.04515289988947 1.18940015558797 1.10381468931982 1.20302113613671 1.25771676095295 1.05592320954308
