"Arriaga" "Assis_1" "Assis_2" "Drummond_1" "Drummond_2" "Espanca" "Feijó" "Junqueiro_1" "Junqueiro_2" "Leal_1" "Leal_2" "Nobre_1" "Nobre_2" "Pascoaes" "Pessoa_1" "Pessoa_2" "Pessoa_3" "Pessoa_4" "Pessoa_5" "Reis"
"Arriaga" 0 0.907892046596013 0.976097978237615 1.44201493655915 1.39178915921297 1.32396986291946 1.08341979461511 0.907524450826648 1.06778554214231 0.991720919081489 1.00109803072331 1.22391772269288 1.07213648408874 1.11525717590364 1.47393495554802 1.5852936131685 1.4993189922356 1.59299274124147 1.61612409650094 1.33510203211228
"Assis_1" 0.907892046596013 0 0.607254285400644 1.07482656050894 0.994808914895968 1.0155463988268 0.860815349434106 0.792011282833106 0.888660715839516 0.83298277437316 0.86752923794479 0.962358991132404 0.870254608208906 0.975687416618931 1.18719910651253 1.30759782856558 1.19181877201232 1.19874021803378 1.30726074980326 1.26905445919194
"Assis_2" 0.976097978237615 0.607254285400644 0 1.05272430911304 0.995653058235525 1.22427237036214 0.795214455526327 0.721235800106218 0.778635581959045 0.716204316663558 0.824154828061401 1.04962517577335 0.857063950414134 1.04104887380717 1.29742081204673 1.38552026590706 1.31268089651359 1.34334642249095 1.41402968293341 1.07101407683216
"Drummond_1" 1.44201493655915 1.07482656050894 1.05272430911304 0 0.563260463933559 1.20329330254425 0.932673329190337 1.12306812115528 1.04320044273237 1.22588531575567 1.16801322058493 1.07275381929883 1.05501728670093 1.19159807794892 1.20546247465372 1.22208432053803 1.19857639685425 1.21705379729578 1.30005974003569 1.10955266116101
"Drummond_2" 1.39178915921297 0.994808914895968 0.995653058235525 0.563260463933559 0 1.17575610824029 0.960867285526952 1.07623770535111 0.974428757017583 1.10954110070482 1.10782301310186 1.03640463927549 1.06560143080921 1.24007757113547 1.12825613358346 1.15330720612693 1.11824046614928 1.12962213019409 1.25685479400866 1.0774156102825
"Espanca" 1.32396986291946 1.0155463988268 1.22427237036214 1.20329330254425 1.17575610824029 0 1.20821766189999 1.32731082199089 1.33391932055492 1.30198339854631 1.22183929027005 1.01046048578403 1.14364974998137 1.02895171844429 1.07394093351179 1.18134216113312 1.09049443418221 1.1288762026726 1.17444087380186 1.30387321381547
"Feijó" 1.08341979461511 0.860815349434106 0.795214455526327 0.932673329190337 0.960867285526952 1.20821766189999 0 0.913678837362247 0.959170944088629 0.900292060617885 0.950303702619289 1.08415284437297 1.00096537938392 1.05399408561856 1.21104338923967 1.26402644404158 1.21554981537955 1.28533489445516 1.28163362827064 1.16826669115862
"Junqueiro_1" 0.907524450826648 0.792011282833106 0.721235800106218 1.12306812115528 1.07623770535111 1.32731082199089 0.913678837362247 0 0.527898486223054 0.780894744333163 0.901918639393452 1.1200611719625 0.863541004487966 1.15617748823549 1.35986746911042 1.41447101058352 1.37395697396346 1.43489290701906 1.48782394238138 1.16979225503998
"Junqueiro_2" 1.06778554214231 0.888660715839516 0.778635581959045 1.04320044273237 0.974428757017583 1.33391932055492 0.959170944088629 0.527898486223054 0 0.810821222801056 0.839929639021387 1.03328176402666 0.788836975322062 1.1716516192236 1.26059623732081 1.34037253302478 1.2672236942254 1.32213336956402 1.36513195327372 1.11907672401038
"Leal_1" 0.991720919081489 0.83298277437316 0.716204316663558 1.22588531575567 1.10954110070482 1.30198339854631 0.900292060617885 0.780894744333163 0.810821222801056 0 0.55757919119241 1.02926312174772 0.954686350454671 1.07507657739632 1.41365333129824 1.49082572869797 1.42811385267709 1.47883185047794 1.552018314487 1.15190261344807
