"Ajar_GrosCalin.1974" "Ajar_LangoisseDuRoiSalomon.1979" "Ajar_LaVieDevantSoi.1975" "Ajar_Pseudo.1976" "Bogat_LesTêtesDeStphanie.1974" "Gary_Au-DelàDeCetteLimite.1975" "Gary_LaPromesseDlAube.1960" "Gary_LeGrandVestiaire.1949" "Gary_LesClownsLyriques.1979" "Gary_LesEnchanteurs.1973" "Gary_LesRacinesDuCiel.1956" "Grainville_LaDianeRousse.1978" "Grainville_LesFlamboyants.1976" "SchwarzBart_LaMulatresse-Solitude.1972" "SchwarzBart_LeDernierDesJustes.1959" "Sinibaldi_LHommeLaColombe.1958" "Vailland_LaLoi.1957" "Vailland_LesMauvaisCoups.1948"
"Ajar_GrosCalin.1974" 0 0.965719440300913 1.07372772146355 0.552482104400761 1.2381332817787 0.799368681663879 1.05265860871222 0.890075383642973 0.999421431837396 1.27319334788869 1.09726646398144 1.65568757125798 1.6732109072415 1.68090061644218 1.41266091973711 1.20233527950891 1.42158328201848 1.22019999360903
"Ajar_LangoisseDuRoiSalomon.1979" 0.965719440300913 0 0.61746072865307 0.822520140353369 1.42867400275458 0.866707333506862 1.33951988933493 1.06942304956405 1.04950381961013 1.42996978872275 1.16042500810699 1.97844503003121 1.9288891493838 1.92077193170728 1.5941217403705 1.50484428622647 1.58515252552082 1.28241350491276
"Ajar_LaVieDevantSoi.1975" 1.07372772146355 0.61746072865307 0 0.954986299422669 1.56618811026206 1.16424367904281 1.54121085651342 1.30316133735317 1.28286992335145 1.56880650295035 1.30647592734075 2.14314945831395 2.12185445474823 2.04421733355051 1.84991519235347 1.67762789964585 1.80428655144564 1.445245572571
"Ajar_Pseudo.1976" 0.552482104400761 0.822520140353369 0.954986299422669 0 1.16852538155884 0.599263016231564 0.975476856908197 0.859682295266151 0.9023893010774 1.06574540837302 0.948537959994188 1.60818581701376 1.64195015162549 1.65184936991389 1.3560038657708 1.2163259521874 1.29890526523117 1.03592202880005
"Bogat_LesTêtesDeStphanie.1974" 1.2381332817787 1.42867400275458 1.56618811026206 1.16852538155884 0 1.02395364057229 0.900249167108699 0.867354683890733 0.61703749627829 0.749653857867698 0.602799225224194 0.984908673056571 1.00206213335931 0.881618022919544 0.706779446705536 0.595109944080179 0.763813294094046 0.914109592164067
"Gary_Au-DelàDeCetteLimite.1975" 0.799368681663879 0.866707333506862 1.16424367904281 0.599263016231564 1.02395364057229 0 0.71592525751489 0.696637886670135 0.759721654663981 0.9548163003936 0.868353734795417 1.49007754965148 1.58869264346959 1.61623443801517 1.24563200866681 1.13184042588484 1.32783923483951 1.03373484949267
"Gary_LaPromesseDlAube.1960" 1.05265860871222 1.33951988933493 1.54121085651342 0.975476856908197 0.900249167108699 0.71592525751489 0 0.820708697342134 0.933025937453295 0.773667939518003 0.868856921663397 1.28885077993052 1.41428865589611 1.32212154890197 1.13552506589433 1.0254837334179 1.26165670746333 1.17694520904724
"Gary_LeGrandVestiaire.1949" 0.890075383642973 1.06942304956405 1.30316133735317 0.859682295266151 0.867354683890733 0.696637886670135 0.820708697342134 0 0.718098268874537 1.03246510807221 0.809767195440356 1.35775610207507 1.4126994259702 1.44313629222785 1.07554970777948 0.888194260643626 1.11656119299703 0.922624052029721
"Gary_LesClownsLyriques.1979" 0.999421431837396 1.04950381961013 1.28286992335145 0.9023893010774 0.61703749627829 0.759721654663981 0.933025937453295 0.718098268874537 0 0.877454903405953 0.452774955527585 1.31842506038977 1.28857726015907 1.19685416923513 0.887632523044922 0.771295015632676 0.923739846633646 0.926471158551803
"Gary_LesEnchanteurs.1973" 1.27319334788869 1.42996978872275 1.56880650295035 1.06574540837302 0.749653857867698 0.9548163003936 0.773667939518003 1.03246510807221 0.877454903405953 0 0.779024585438445 1.06330858412053 1.10698938861302 1.07308157335738 0.97847036708672 0.838665853294743 1.07206976884511 1.15167711760653
