"Arriaga" "Assis_1" "Assis_2" "Campos" "Drummond_1" "Drummond_2" "Espanca" "Feijó" "Junqueiro_1" "Junqueiro_2" "Leal_1" "Leal_2" "Nobre_1" "Nobre_2" "Pascoaes" "Pessoa_1" "Pessoa_2" "Pessoa_3" "Pessoa_4" "Pessoa_5"
"Arriaga" 0 0.928070928909946 0.93303058274689 1.23533134556073 1.17614363657718 1.18712570638352 1.22637467579231 1.00014998605166 0.85219440211238 0.941627900303749 0.843145756725291 0.933622383988332 1.07127764215 1.00738960101411 1.00692429341369 1.32465867630743 1.43462244887147 1.31930417631827 1.39567404251221 1.38525003491482
"Assis_1" 0.928070928909946 0 0.705623861188593 1.15379340107104 1.00576405388918 1.03226487127254 1.08178968466998 0.918914217564039 0.868306406151314 0.951699446777845 0.838249227405732 0.917873229603454 0.929830041823064 0.936501731625262 0.969430588818677 1.13221875521074 1.26970395794074 1.13304425451639 1.22987507824251 1.23764371689369
"Assis_2" 0.93303058274689 0.705623861188593 0 1.14424617890804 0.998017325516808 1.03673663302533 1.17903456986052 0.893932690040596 0.856631126298445 0.882603726871916 0.792554666839101 0.87022524418368 0.972858235145147 0.901199351848859 0.973859530220288 1.20437939982661 1.33241040761476 1.20913707232798 1.31358184708193 1.30583825136543
"Campos" 1.23533134556073 1.15379340107104 1.14424617890804 0 0.998090577753582 1.0014469958446 1.15254296738719 1.18970944041896 1.11986447645624 1.14645124055769 1.19028447692139 1.21268459194065 1.12596873190703 1.12473722962637 1.27437899967208 0.870683660354007 0.990013199466422 0.881265053103084 1.04144544575335 0.983299445422081
"Drummond_1" 1.17614363657718 1.00576405388918 0.998017325516808 0.998090577753582 0 0.670075776367891 1.13799267248054 1.01721979482847 1.08865526785748 1.0837634454636 1.09269398464324 1.08549228086184 1.06870893754103 1.03286234028983 1.07334894572349 1.07984257395984 1.14305622723191 1.06648227057686 1.18308165852466 1.18893007824693
"Drummond_2" 1.18712570638352 1.03226487127254 1.03673663302533 1.0014469958446 0.670075776367891 0 1.17847813391672 1.06502694872182 1.09200461986104 1.0986595696225 1.12655141942848 1.12289537433029 1.13564157585693 1.09278002104303 1.14516590670286 1.11282604931674 1.1913978523301 1.10831146399092 1.1726439679295 1.22445825189535
"Espanca" 1.22637467579231 1.08178968466998 1.17903456986052 1.15254296738719 1.13799267248054 1.17847813391672 0 1.09064847548954 1.18940037270794 1.21994108373353 1.20267043502471 1.1971764952356 1.06180098063425 1.09103426640461 1.09290801707841 1.09031071843344 1.22850527352534 1.0784006324887 1.1830419113961 1.19869931591089
"Feijó" 1.00014998605166 0.918914217564039 0.893932690040596 1.18970944041896 1.01721979482847 1.06502694872182 1.09064847548954 0 0.922860636373502 0.95893306528849 0.93538254156471 0.991506476815828 1.02593494910913 0.97124482609097 0.975262431487141 1.15349470508174 1.27599022443537 1.15362933515081 1.2424439870954 1.20950236614718
"Junqueiro_1" 0.85219440211238 0.868306406151314 0.856631126298445 1.11986447645624 1.08865526785748 1.09200461986104 1.18940037270794 0.922860636373502 0 0.612592257465896 0.773055735042025 0.844610889454038 0.951721703387191 0.847047956129902 1.0101249702396 1.2231782195803 1.35418741934962 1.22389381409719 1.31847334455038 1.31766338572885
"Junqueiro_2" 0.941627900303749 0.951699446777845 0.882603726871916 1.14645124055769 1.0837634454636 1.0986595696225 1.21994108373353 0.95893306528849 0.612592257465896 0 0.815678338608122 0.882601679109373 0.965614003561781 0.854275923700436 1.04595180088321 1.23578611910007 1.37512922645584 1.2479527411852 1.33105467450373 1.33949482902574
"Leal_1" 0.843145756725291 0.838249227405732 0.792554666839101 1.19028447692139 1.09269398464324 1.12655141942848 1.20267043502471 0.93538254156471 0.773055735042025 0.815678338608122 0 0.608117298500616 0.928640481021329 0.901646121945102 0.991805349184944 1.32261232140435 1.44294286569525 1.32568969068642 1.3776956423425 1.41998492671545
"Leal_2" 0.933622383988332 0.917873229603454 0.87022524418368 1.21268459194065 1.08549228086184 1.12289537433029 1.1971764952356 0.991506476815828 0.844610889454038 0.882601679109373 0.608117298500616 0 0.89863256113093 0.859366562068802 1.02743692613034 1.29277585782111 1.40083669190309 1.30578229484443 1.38072564406119 1.40847392832244
"Nobre_1" 1.07127764215 0.929830041823064 0.972858235145147 1.12596873190703 1.06870893754103 1.13564157585693 1.06180098063425 1.02593494910913 0.951721703387191 0.965614003561781 0.928640481021329 0.89863256113093 0 0.657029054123408 1.08087011282935 1.16946023769995 1.3183655325346 1.16944840061227 1.26512076167487 1.24142530839399
"Nobre_2" 1.00738960101411 0.936501731625262 0.901199351848859 1.12473722962637 1.03286234028983 1.09278002104303 1.09103426640461 0.97124482609097 0.847047956129902 0.854275923700436 0.901646121945102 0.859366562068802 0.657029054123408 0 1.05697861008732 1.18234753712884 1.31281788900818 1.17589781781022 1.28710423751579 1.26911622903241
"Pascoaes" 1.00692429341369 0.969430588818677 0.973859530220288 1.27437899967208 1.07334894572349 1.14516590670286 1.09290801707841 0.975262431487141 1.0101249702396 1.04595180088321 0.991805349184944 1.02743692613034 1.08087011282935 1.05697861008732 0 1.26107733859971 1.35839335878688 1.27057660277976 1.32622653883647 1.34211485999462
