"Arriaga" "Assis_1" "Assis_2" "Campos" "Drummond_1" "Drummond_2" "Espanca" "Feijó" "Junqueiro_1" "Junqueiro_2" "Leal_1" "Leal_2" "Nobre_1" "Nobre_2" "Pascoaes" "Pessoa_1" "Pessoa_2" "Pessoa_3" "Pessoa_4" "Pessoa_5"
"Arriaga" 0 0.931588815867071 1.0271462837504 1.34930001896398 1.39944361377169 1.35848104823254 1.27534380862914 1.1227731929661 0.950291384057415 1.08217703597673 0.955150902577159 0.993277446092295 1.21365918989595 1.02580061498249 1.01256627539426 1.47715633724567 1.58285932093789 1.4998036608229 1.56727733667936 1.62915281320227
"Assis_1" 0.931588815867071 0 0.654784796985144 1.26087681282601 1.06084735742994 1.00140799959844 1.0572519730915 0.917222862473073 0.808402205981746 0.889158280338445 0.837883358788622 0.88750919330581 0.9653835218792 0.856717110948029 0.912752357077352 1.20764663540073 1.32210507333011 1.20549013743309 1.19774730924972 1.31678894498349
"Assis_2" 1.0271462837504 0.654784796985144 0 1.21819110592651 1.07525988773027 1.03491852304081 1.28803396429768 0.846770417715287 0.724622496096385 0.809734020294774 0.756227084864252 0.858497264140189 1.07892537791534 0.844042477748561 1.00894070758025 1.33546932984372 1.42029835197882 1.3514461195478 1.38193233670772 1.44853684228821
"Campos" 1.34930001896398 1.26087681282601 1.21819110592651 0 1.1227054372093 1.03049682090389 1.08225432998319 1.18448066663618 1.20868194882853 1.10072045401167 1.24677124338 1.24751037746544 1.07982775084668 1.07623448086488 1.32755629773337 0.980142370540807 1.02950974022623 1.00428152663304 1.06458168779047 1.1179640302295
"Drummond_1" 1.39944361377169 1.06084735742994 1.07525988773027 1.1227054372093 0 0.554434028421745 1.23076345325241 0.95465030643686 1.12761617657981 1.0138628670968 1.20607114337826 1.1636102050551 1.11591293775362 1.06966486773653 1.12911306685645 1.22876721453517 1.24040983675209 1.21246670955647 1.20570644720252 1.34353450377076
"Drummond_2" 1.35848104823254 1.00140799959844 1.03491852304081 1.03049682090389 0.554434028421745 0 1.21158701496633 0.970474563817541 1.07189126029187 0.944128367142185 1.08877241037852 1.11134639919313 1.07553120999424 1.04820375797915 1.18060351502105 1.17503419926936 1.20229972176798 1.15654969350182 1.15421305334105 1.27730892151497
"Espanca" 1.27534380862914 1.0572519730915 1.28803396429768 1.08225432998319 1.23076345325241 1.21158701496633 0 1.24664697448472 1.34231025392405 1.3315428648533 1.32392928142931 1.20340621163341 0.978209576761855 1.07976258599436 0.999495224885903 1.08007710903136 1.18245951223432 1.09902941523506 1.14566630261783 1.1859629966731
"Feijó" 1.1227731929661 0.917222862473073 0.846770417715287 1.18448066663618 0.95465030643686 0.970474563817541 1.24664697448472 0 0.934779676591644 0.996467472891912 0.938205236681026 1.00131150054587 1.13213654651249 1.01655467059296 1.03814695077692 1.24328431119354 1.29154200326407 1.25446035567098 1.30742627128431 1.31857343238456
"Junqueiro_1" 0.950291384057415 0.808402205981746 0.724622496096385 1.20868194882853 1.12761617657981 1.07189126029187 1.34231025392405 0.934779676591644 0 0.553891992780903 0.751506959716528 0.897276026398556 1.12695134737576 0.863271251445039 1.08219578225288 1.37586426854811 1.43266678101848 1.39318087367929 1.43495243279436 1.52520774649183
"Junqueiro_2" 1.08217703597673 0.889158280338445 0.809734020294774 1.10072045401167 1.0138628670968 0.944128367142185 1.3315428648533 0.996467472891912 0.553891992780903 0 0.776344262641628 0.826734737035156 1.05027026421784 0.7905987218661 1.11014674832436 1.27024428495817 1.35045402689745 1.27349703087362 1.30040287873955 1.37941899200441
"Leal_1" 0.955150902577159 0.837883358788622 0.756227084864252 1.24677124338 1.20607114337826 1.08877241037852 1.32392928142931 0.938205236681026 0.751506959716528 0.776344262641628 0 0.537408848548404 1.02102872714405 0.911503335388816 1.046052591802 1.40298808070971 1.4728188821034 1.41896543461433 1.44737619439993 1.56549569717337
