"Arriaga" "Assis_1" "Assis_2" "Caeiro" "Drummond_1" "Drummond_2" "Espanca" "Feijó" "Junqueiro_1" "Junqueiro_2" "Leal_1" "Leal_2" "Nobre_1" "Nobre_2" "Pascoaes" "Pessoa_1" "Pessoa_2" "Pessoa_3" "Pessoa_4" "Pessoa_5"
"Arriaga" 0 0.927478018976711 0.930301585345403 1.48135502740624 1.14867104653497 1.15414758539642 1.21688632790407 0.998314872911478 0.851132358664672 0.944901505508636 0.849210726815513 0.948463979492366 1.07189643175367 1.0096323021175 1.00450947092383 1.34047946737738 1.33649230549576 1.27416576896273 1.35841672054712 1.28788812269288
"Assis_1" 0.927478018976711 0 0.702087398695351 1.36906937314295 0.985110175128452 1.00531545907665 1.06509356285089 0.924499167767958 0.861803752778156 0.947673607633815 0.850659750643625 0.916834896640433 0.920971157180403 0.932183135217632 0.971132576030709 1.14686595978345 1.19094367550343 1.09451596876628 1.16655809924051 1.10371226524702
"Assis_2" 0.930301585345403 0.702087398695351 0 1.30893998867706 0.962775267345038 1.00306964114249 1.16380673647499 0.898708408492524 0.847552605787988 0.872069201062223 0.795833763066579 0.860015506636936 0.956677737593882 0.889255970334182 0.975346654885823 1.23246701015069 1.22094420420288 1.15378185668308 1.22653389180383 1.16672251164813
"Caeiro" 1.48135502740624 1.36906937314295 1.30893998867706 0 1.17574886539932 1.19759793058547 1.38582822325807 1.36073291439952 1.35404657714646 1.35353330975817 1.42725668871495 1.39586911751094 1.38334116903287 1.29213184664363 1.45371023345247 1.19616203994287 1.12307263544084 1.10027956254044 1.17074748901163 1.11271431501449
"Drummond_1" 1.14867104653497 0.985110175128452 0.962775267345038 1.17574886539932 0 0.655782695819051 1.11866927853109 1.00393999482852 1.0577849421903 1.05357689962782 1.07690440631726 1.06624287416101 1.05159828266869 1.01396890269772 1.0555234663656 1.11652690933908 1.08499034264946 1.03569719363991 1.15032641137359 1.03956738512328
"Drummond_2" 1.15414758539642 1.00531545907665 1.00306964114249 1.19759793058547 0.655782695819051 0 1.14165899827923 1.05405020793938 1.06095991623754 1.06492125578999 1.10441221813525 1.09634023677597 1.10378418230584 1.07039166806073 1.1141261882832 1.1316435499056 1.10873672208422 1.06545500292213 1.16350642664935 1.0766373657973
"Espanca" 1.21688632790407 1.06509356285089 1.16380673647499 1.38582822325807 1.11866927853109 1.14165899827923 0 1.09344497988297 1.16682758398679 1.20829248026219 1.20718297785159 1.18632139657787 1.0423677460786 1.07252131952635 1.08383921251769 1.10766766303212 1.12746409902133 1.05440773521529 1.16196828332933 1.06354479207264
"Feijó" 0.998314872911478 0.924499167767958 0.898708408492524 1.36073291439952 1.00393999482852 1.05405020793938 1.09344497988297 0 0.926229959403838 0.97321002384616 0.943921874476382 0.997240676890936 1.01686128665436 0.967708976800071 0.978322954597858 1.18052760727124 1.16060979401897 1.1112396308349 1.20111953116657 1.1146872024616
"Junqueiro_1" 0.851132358664672 0.861803752778156 0.847552605787988 1.35404657714646 1.0577849421903 1.06095991623754 1.16682758398679 0.926229959403838 0 0.605653923668131 0.780789412841254 0.835694157642597 0.940524935260057 0.842351002249652 1.0121202479954 1.27219031626085 1.24315556424514 1.18152665736724 1.24439331629802 1.20051572480402
"Junqueiro_2" 0.944901505508636 0.947673607633815 0.872069201062223 1.35353330975817 1.05357689962782 1.06492125578999 1.20829248026219 0.97321002384616 0.605653923668131 0 0.822943444735545 0.883091352837713 0.947844389066126 0.8469404451922 1.04469812006643 1.28188572633049 1.24183821505745 1.19254099513186 1.23158492532858 1.20750006234004
"Leal_1" 0.849210726815513 0.850659750643625 0.795833763066579 1.42725668871495 1.07690440631726 1.10441221813525 1.20718297785159 0.943921874476382 0.780789412841254 0.822943444735545 0 0.61637524220798 0.921181736432288 0.905493999845725 0.996147663116872 1.35253710196424 1.30497543719604 1.27470192022269 1.37452261373735 1.28649682217787
"Leal_2" 0.948463979492366 0.916834896640433 0.860015506636936 1.39586911751094 1.06624287416101 1.09634023677597 1.18632139657787 0.997240676890936 0.835694157642597 0.883091352837713 0.61637524220798 0 0.885905650138126 0.855593993543264 1.0247821438617 1.34114577468135 1.29513248690613 1.25261308690101 1.3407637451712 1.26132993578239
"Nobre_1" 1.07189643175367 0.920971157180403 0.956677737593882 1.38334116903287 1.05159828266869 1.10378418230584 1.0423677460786 1.01686128665436 0.940524935260057 0.947844389066126 0.921181736432288 0.885905650138126 0 0.63284043910767 1.06491366307087 1.23754977906746 1.20332957986427 1.12815072334169 1.1963211004036 1.14553526837844
"Nobre_2" 1.0096323021175 0.932183135217632 0.889255970334182 1.29213184664363 1.01396890269772 1.07039166806073 1.07252131952635 0.967708976800071 0.842351002249652 0.8469404451922 0.905493999845725 0.855593993543264 0.63284043910767 0 1.05015844592145 1.23339962737884 1.18484790487558 1.14363454329424 1.23373588728581 1.1593621751485
"Pascoaes" 1.00450947092383 0.971132576030709 0.975346654885823 1.45371023345247 1.0555234663656 1.1141261882832 1.08383921251769 0.978322954597858 1.0121202479954 1.04469812006643 0.996147663116872 1.0247821438617 1.06491366307087 1.05015844592145 0 1.30026904914157 1.269476384611 1.22449273814921 1.26314731193859 1.22818509579567
