"Arriaga" "Assis_1" "Assis_2" "Caeiro" "Drummond_1" "Drummond_2" "Espanca" "Feijó" "Junqueiro_1" "Junqueiro_2" "Leal_1" "Leal_2" "Nobre_1" "Nobre_2" "Pascoaes" "Pessoa_1" "Pessoa_2" "Pessoa_3" "Pessoa_4" "Pessoa_5"
"Arriaga" 0 0.916824890572326 1.00558631239057 1.64993956532513 1.36471921202692 1.34788765674885 1.26985371415219 1.06924605329932 0.909305676969823 1.05610071744905 0.94861025982265 0.980062505045306 1.17932144542797 1.03544148192086 1.03564160183831 1.63917207226357 1.51606788253082 1.52059100517359 1.51223830163436 1.52701009327328
"Assis_1" 0.916824890572326 0 0.627733648421583 1.48145464694071 1.06260854737985 0.972386675167572 1.00333172709454 0.84287945458765 0.793537107441803 0.885757387843374 0.818532349431449 0.862819902589042 0.925186491504834 0.854947334830452 0.944007107696838 1.31387858104514 1.17007886141947 1.18972461320462 1.2878005214956 1.19409981146385
"Assis_2" 1.00558631239057 0.627733648421583 0 1.48318765562078 1.08083071868626 1.02771669075759 1.2559750073577 0.815015565438258 0.729288789712781 0.795476717397058 0.752921800400123 0.840257243499399 1.04088279452636 0.867311311687996 1.02543217846044 1.43152487050556 1.34357626447981 1.34719680741569 1.43646021274344 1.35104996245781
"Caeiro" 1.64993956532513 1.48145464694071 1.48318765562078 0 1.2255726255708 1.28293371830287 1.30789387225968 1.35239185343486 1.45187409909286 1.40995045811005 1.48735434985036 1.44971504826546 1.29402376632288 1.22030335057354 1.59307232022733 1.13858467554874 1.01165166676108 1.06659294126412 1.17232557947392 1.06525623720819
"Drummond_1" 1.36471921202692 1.06260854737985 1.08083071868626 1.2255726255708 0 0.562764621071017 1.19545734184402 0.93385052419983 1.1119266252629 1.02189983891141 1.21249136144554 1.13348537916178 1.06107788137633 1.05476297682529 1.1411147977225 1.31813485461073 1.12665287576523 1.1849306665781 1.22006297599303 1.17712408805151
"Drummond_2" 1.34788765674885 0.972386675167572 1.02771669075759 1.28293371830287 0.562764621071017 0 1.16446052438998 0.937423623913125 1.05146890412428 0.951495258353616 1.07839435073893 1.07058456109875 1.01372004777098 1.05701049468082 1.189298152116 1.27569741316615 1.10322403564308 1.13446163736521 1.17396178356018 1.12665597647222
"Espanca" 1.26985371415219 1.00333172709454 1.2559750073577 1.30789387225968 1.19545734184402 1.16446052438998 0 1.20009644949283 1.30893930180047 1.31114651645751 1.2749359412349 1.17622520490456 0.958068998004661 1.08556544836943 0.973735034230034 1.13706191765326 1.13581307223257 1.09372197086082 1.16022352265708 1.08750994030949
"Feijó" 1.06924605329932 0.84287945458765 0.815015565438258 1.35239185343486 0.93385052419983 0.937423623913125 1.20009644949283 0 0.911828556164714 0.960688522681238 0.886877917441062 0.936190447414708 1.0669009447012 1.00971911459186 1.00827669839714 1.32984014311152 1.17828271191328 1.22993068895916 1.27060809421314 1.21791633804136
"Junqueiro_1" 0.909305676969823 0.793537107441803 0.729288789712781 1.45187409909286 1.1119266252629 1.05146890412428 1.30893930180047 0.911828556164714 0 0.528803514196935 0.753683391028458 0.877189056830074 1.08736042298103 0.864678487010753 1.11465645446388 1.48144288739446 1.31110206736335 1.38026719910389 1.43564657861792 1.39277569461289
"Junqueiro_2" 1.05610071744905 0.885757387843374 0.795476717397058 1.40995045811005 1.02189983891141 0.951495258353616 1.31114651645751 0.960688522681238 0.528803514196935 0 0.789407196519741 0.811512439340279 1.02200685560529 0.806282579184835 1.14725592655933 1.38246028270268 1.29316262595014 1.29128883792804 1.37040146969734 1.29620563268346
"Leal_1" 0.94861025982265 0.818532349431449 0.752921800400123 1.48735434985036 1.21249136144554 1.07839435073893 1.2749359412349 0.886877917441062 0.753683391028458 0.789407196519741 0 0.53991629016439 0.988199132170553 0.940509455328697 1.04425696985755 1.48919162691369 1.41339192061188 1.4251206012494 1.46491934021703 1.42635456357628
"Leal_2" 0.980062505045306 0.862819902589042 0.840257243499399 1.44971504826546 1.13348537916178 1.07058456109875 1.17622520490456 0.936190447414708 0.877189056830074 0.811512439340279 0.53991629016439 0 0.850684114479171 0.798864624929283 1.0541306820511 1.4718426556255 1.38743829980996 1.36488430328002 1.38813601877467 1.36181914918696
"Nobre_1" 1.17932144542797 0.925186491504834 1.04088279452636 1.29402376632288 1.06107788137633 1.01372004777098 0.958068998004661 1.0669009447012 1.08736042298103 1.02200685560529 0.988199132170553 0.850684114479171 0 0.63555277713243 1.08564710965528 1.327405152051 1.12496185321096 1.13616573014243 1.14037170672038 1.14422584923636
"Nobre_2" 1.03544148192086 0.854947334830452 0.867311311687996 1.22030335057354 1.05476297682529 1.05701049468082 1.08556544836943 1.00971911459186 0.864678487010753 0.806282579184835 0.940509455328697 0.798864624929283 0.63555277713243 0 1.04689159189407 1.34593767180615 1.10303318422794 1.16273798570395 1.22853002085714 1.16890252682523
"Pascoaes" 1.03564160183831 0.944007107696838 1.02543217846044 1.59307232022733 1.1411147977225 1.189298152116 0.973735034230034 1.00827669839714 1.11465645446388 1.14725592655933 1.04425696985755 1.0541306820511 1.08564710965528 1.04689159189407 0 1.47355012456143 1.3010111962517 1.37961162947238 1.40789722996089 1.38205415346431
"Pessoa_1" 1.63917207226357 1.31387858104514 1.43152487050556 1.13858467554874 1.31813485461073 1.27569741316615 1.13706191765326 1.32984014311152 1.48144288739446 1.38246028270268 1.48919162691369 1.4718426556255 1.327405152051 1.34593767180615 1.47355012456143 0 0.66954896984644 0.397361758251764 0.662193823896046 0.409253994072803
"Pessoa_2" 1.51606788253082 1.17007886141947 1.34357626447981 1.01165166676108 1.12665287576523 1.10322403564308 1.13581307223257 1.17828271191328 1.31110206736335 1.29316262595014 1.41339192061188 1.38743829980996 1.12496185321096 1.10303318422794 1.3010111962517 0.66954896984644 0 0.420069890791533 0.585160931064513 0.441725346880545
"Pessoa_3" 1.52059100517359 1.18972461320462 1.34719680741569 1.06659294126412 1.1849306665781 1.13446163736521 1.09372197086082 1.22993068895916 1.38026719910389 1.29128883792804 1.4251206012494 1.36488430328002 1.13616573014243 1.16273798570395 1.37961162947238 0.397361758251764 0.420069890791533 0 0.389631366412494 0.0617301481695193
"Pessoa_4" 1.51223830163436 1.2878005214956 1.43646021274344 1.17232557947392 1.22006297599303 1.17396178356018 1.16022352265708 1.27060809421314 1.43564657861792 1.37040146969734 1.46491934021703 1.38813601877467 1.14037170672038 1.22853002085714 1.40789722996089 0.662193823896046 0.585160931064513 0.389631366412494 0 0.399321823971405
"Pessoa_5" 1.52701009327328 1.19409981146385 1.35104996245781 1.06525623720819 1.17712408805151 1.12665597647222 1.08750994030949 1.21791633804136 1.39277569461289 1.29620563268346 1.42635456357628 1.36181914918696 1.14422584923636 1.16890252682523 1.38205415346431 0.409253994072803 0.441725346880545 0.0617301481695193 0.399321823971405 0
