"Arriaga" "Assis_1" "Assis_2" "Caeiro_1" "Caeiro_2" "Campos_1" "Campos_2" "Campos_3" "Drummond_1" "Drummond_2" "Espanca" "Feijó" "Junqueiro_1" "Junqueiro_2" "Leal_1" "Leal_2" "Nobre_1" "Nobre_2" "Pessoa_1" "Pessoa_2" "Pessoa_3" "Pessoa_4" "Reis_1"
"a" 4.44970064306305 4.48333603413817 4.25558008339465 3.80333037737708 3.49781386633354 3.06532171187935 3.54232227870572 3.20071984060672 2.78349398895267 2.82502162006342 4.21707811735086 5.23835417799529 4.47390932420873 4.02455661664393 3.51493848857645 3.4761696545693 3.3256291730868 3.8497446317755 3.78772933517459 3.90253565768621 4.10119577033304 3.77395577395577 3.87550797898702
"e" 3.74011382955133 3.27337546588883 4.07162129016434 4.68026406542517 4.05996252342286 3.41788267554598 3.08238521746147 3.18143839578379 3.16256904581393 3.08446238108965 3.44779355199664 3.04513322457858 3.5158254918734 4.6677061001754 4.03851786760398 4.67861827721906 2.92116076014381 2.96556647811522 3.43262971000197 3.24881141045959 3.14260302401423 3.29238329238329 3.11230052532461
"que" 3.5035848917141 2.54955976881111 3.102771645818 4.67041087791901 4.55965021861337 3.84879052002742 3.65528927620431 2.92435246481136 2.03617459114047 1.84491207840876 3.86740331491713 3.32608301613196 2.40376390076989 1.8514909374391 3.44171060339777 2.40489724529952 3.53107344632768 3.03695974518095 5.10948905109489 4.70483359746434 4.87202292716672 4.94348894348894 4.68827435821191
"o" 3.59228324340306 3.39221087884189 3.63829613277737 3.26140506453838 3.38850718301062 2.81069434923122 2.8483821512144 2.63513079246738 2.61020253438752 2.78658595176324 2.7414504510805 3.36233460213884 3.86655260906758 3.8296628337556 3.56619800820152 2.67818102317446 2.27272727272727 3.06991048382668 3.43262971000197 3.91244057052298 3.49836940409131 3.60687960687961 3.60788978094955
"de" 1.98832138369429 2.50634689137363 2.6081268906876 2.07902256379939 2.62336039975016 3.68230339829596 3.37287178245784 3.84343466803779 3.37918336402036 3.90122033246853 3.36387159941255 2.45604495196665 2.68605645851155 2.47515104268174 1.51947861745753 1.89112374289462 2.56805341551104 2.92712394969521 2.17991714342079 2.68423137876387 2.51012945943275 2.4963144963145 2.03191594806225
"não" 0.406534111907754 1.08572354561659 0.895266127054206 2.52241600157651 2.56089943785134 1.5179708157869 1.8800936012265 1.09904235490713 1.75457597747211 1.47977322955703 0.951115462619764 0.516585100598151 0.521813515825492 0.467745078931982 0.5199179847686 0.677743769129864 1.27760657421674 0.928112471854577 2.20950877885184 2.17908082408875 2.1345982804625 2.03439803439803 2.07156308851224
"um" 1.07177174957499 1.2585750553665 0.923881939334478 1.02473150064046 0.952529668956902 0.93036920967584 0.814976196239813 0.970499389420914 1.07224087512185 1.2203324685308 0.979089446814463 1.17817654522385 2.31822070145423 2.04638472032742 1.56341534856473 1.65063401836467 0.841037493579866 0.955571420726015 1.09489051094891 1.19849445324881 1.06729914023125 1.26781326781327 0.634354247199921
"do" 1.62613644763101 1.49624588127262 1.34085520398986 0.916346438072717 0.905683947532792 1.40045049456469 0.968288549987896 1.00263513079247 0.823134409184447 0.97050062457961 0.755297573256871 1.00598151169114 1.47134302822926 1.05242642759696 1.57439953134153 1.0166156536948 0.738315356959425 0.933604261628865 1.21325705267311 1.22820919175911 1.24518233026979 1.02211302211302 1.03082565169987
"os" 1.04959716165275 0.864257548749527 1.35720709672145 0.965612375603508 0.890068707058089 0.891195769268436 1.31525861373356 1.10546950318144 0.833965125094769 1.19150571730566 0.986082942863137 0.679717237629146 1.14627887082977 1.10114987331904 1.40963678968951 1.59051158723218 0.918079096045198 1.13130869350321 0.443874531465772 0.53486529318542 0.592943966795138 0.402948402948403 1.24888492417484
"é" 0.532190110133787 0.65359477124183 0.502820701496198 2.19726081387329 2.62336039975016 1.11644305161101 0.968288549987896 0.784112089465904 1.09390230694249 0.884020370904199 1.1888943282747 0.670654341127424 1.17194183062447 0.808809198986552 0.662712360867018 0.579361609094884 0.969440164355419 0.87868636388599 1.91359242454133 1.8324088748019 1.79859669927858 1.80835380835381 1.34800277529983
"se" 0.93872422204154 1.08032193593691 1.00972937617529 1.46812493841758 1.24921923797626 0.989129370286945 0.871459694989107 0.93193649977505 1.3971623524315 1.71038723935812 0.874187006084342 1.55881819829618 0.761334473909324 0.711362307542389 0.59680726420621 0.694140795802361 0.770416024653313 0.653522983140205 0.927204576839613 1.51545166402536 1.13647593635735 1.30712530712531 1.07047279214987
"em" 1.92918914923498 1.05331388753849 0.645899762897555 0.620750812887969 0.499687695190506 0.754088727842523 1.03284111998709 0.886946461854875 1.13722517058378 1.03776304410493 1.32177075319952 1.49537792278412 0.846877673224979 1.29604365620737 0.867750439367311 0.890905115872322 0.905238828967643 0.697457301334505 1.0357072400868 0.960776545166403 1.02776954244491 1.33660933660934 0.862325304787392
"da" 1.35264986325671 1.19375573921028 1.32041533807538 0.847374125529609 0.843222985633979 1.0380961707962 1.01670297748729 0.848383572209011 0.606520090978014 0.845584702604017 0.601440660186027 1.06035889070147 1.40290846877673 0.711362307542389 1.21192149970709 0.74879755137735 0.757575757575758 0.752375199077379 0.946932333793648 0.950871632329635 0.741179958493922 0.746928746928747 0.743383883437407
"as" 0.864808928967403 0.956084913304165 0.964761671163437 1.18238250073899 0.890068707058089 0.636568406620311 0.960219478737997 1.15045954110161 0.541535795516084 0.701450946478332 0.741310581159522 0.7431575131412 0.76988879384089 0.828298577275385 1.2997949619215 1.25710537822475 0.828197226502311 0.96655500027459 0.45373840994279 0.53486529318542 0.405178377310011 0.422604422604423 0.832589949449896
"me" 0.561756227363442 0.442931993734133 0.302510015534298 1.24150162577594 1.21798875702686 1.19478993242582 1.25070604373437 1.08618805835851 0.84479584100509 0.720668780628423 1.19588782432338 0.208446619539605 0.128314798973482 0.302085363476905 0.314879906268307 0.60122431132488 1.1748844375963 0.840243835465978 1.21325705267311 1.23811410459588 1.69977270481273 1.38574938574939 0.812766379224898
"como" 0.606105403207924 0.588775455085615 0.654075709263347 1.04443787565277 1.17114303560275 0.734502007638821 0.718147341241023 0.816247830837457 0.444059352323189 0.393965600076871 0.804252045597594 1.09661047670836 0.863986313088109 0.652894172675892 1.01054481546573 0.890905115872322 0.507190549563431 0.604096875171618 0.680607614914184 0.584389857369255 0.751062357940508 0.855036855036855 0.664089602537417
"no" 0.680020696282061 0.550964187327824 0.71130733382389 0.551778500344862 0.640224859462836 0.548428165703653 0.629387557492133 0.681277717076933 1.13722517058378 1.19150571730566 0.433596755017833 0.951604132680805 0.513259195893926 0.487234457220815 0.695664909197422 0.721469173589856 0.667693888032871 0.516228238783019 0.808838035115407 0.80229793977813 0.672003162367823 0.619164619164619 0.614530676974923
"eu" 0.613496932515337 0.523956138929401 0.17987082004742 0.955759188097349 1.01499063085572 0.891195769268436 1.29105139998386 0.604151937785205 0.238275750027077 0.134524839050639 1.17490733617735 0.244698205546493 0.29940119760479 0.302085363476905 0.527240773286467 0.579361609094884 1.19414483821263 0.66450656268878 0.720063128822253 0.841917591125198 1.08706393912442 0.972972972972973 0.227971057587471
