"Arriaga" "Assis_1" "Assis_2" "Caeiro_1" "Caeiro_2" "Campos_1" "Campos_2" "Campos_3" "Drummond_1" "Drummond_2" "Espanca" "Feijó" "Junqueiro_1" "Junqueiro_2" "Leal_1" "Leal_2" "Nobre_1" "Nobre_2" "Pessoa_1" "Pessoa_2" "Pessoa_3" "Pessoa_4" "Reis_1"
"Arriaga" 0 0.883733318364611 0.975003956418172 1.53122763629276 1.56212214661736 1.34398776426988 1.45485054395478 1.28644186642977 1.39280074129513 1.33975897706588 1.27449138133147 1.09420710438061 0.910721339031812 1.08024823365913 0.94825758033146 1.00231398005348 1.20645141725875 1.0516896285385 1.51808750084015 1.42417333455417 1.55571840331425 1.5575921383798 1.3253443035392
"Assis_1" 0.883733318364611 0 0.629127534138679 1.33887422260058 1.37406697517147 1.17042001522389 1.20848349201895 1.14922039234174 1.03761211961846 0.980339202386431 1.00902926834957 0.89222454814107 0.779958367983991 0.886878575489191 0.817523342367531 0.86898389225717 0.960471288276356 0.9036306250274 1.25542992687967 1.13359539133372 1.2475102213454 1.26128194761448 1.20114792207995
"Assis_2" 0.975003956418172 0.629127534138679 0 1.3238012138187 1.3778982128055 1.17818197027457 1.21741296837515 1.13993227214959 1.10054440261857 1.03994167983955 1.25648548555524 0.846687904961847 0.719918360687028 0.794548474178063 0.725029370530021 0.85231658932444 1.08506834995383 0.876112861249699 1.38095877422652 1.20345617942915 1.3671913105703 1.40058771513466 1.09950623160767
"Caeiro_1" 1.53122763629276 1.33887422260058 1.3238012138187 0 0.596653356932942 0.763844912023676 0.869667303927029 0.937497445737407 1.16231473502241 1.13951311586104 1.16538897236862 1.20448022921341 1.31511963160129 1.18037748933932 1.30446074231564 1.26121507642494 1.19495680917141 1.17944480378305 0.999182675390375 0.932852758416319 0.988557921575433 1.00187711524375 1.02270096440405
"Caeiro_2" 1.56212214661736 1.37406697517147 1.3778982128055 0.596653356932942 0 0.941341955204909 1.00889447877028 1.10112213064247 1.16119433791894 1.23121966675008 1.18211056203863 1.33639647579691 1.45567661722443 1.38490154419276 1.40301552879373 1.37718828245783 1.30013265575888 1.30316863974097 1.06262695770205 0.99366696959045 0.996941670785499 1.0189820653441 1.10415303486986
"Campos_1" 1.34398776426988 1.17042001522389 1.17818197027457 0.763844912023676 0.941341955204909 0 0.573938900849436 0.602163465991613 1.0390345784743 0.930723704664712 1.04685458991195 1.16181202938759 1.16912471873432 1.06580996820486 1.20484700319317 1.25560954343739 1.09085556048269 1.11231402859157 0.882552042884384 0.877211721729993 0.967768958927396 0.931228157121716 1.03356630475814
"Campos_2" 1.45485054395478 1.20848349201895 1.21741296837515 0.869667303927029 1.00889447877028 0.573938900849436 0 0.666024700765437 1.1025896287368 1.02331557851231 1.08962829045699 1.20169127732876 1.26887150692933 1.16521982372632 1.34282836873097 1.31931089410301 1.12277894749922 1.13605517002594 0.944583051858862 0.983419388461056 0.99421833256113 0.926459022367969 0.981560476909502
"Campos_3" 1.28644186642977 1.14922039234174 1.13993227214959 0.937497445737407 1.10112213064247 0.602163465991613 0.666024700765437 0 1.07292373259984 0.975672730085282 1.0367207621577 1.12877281187413 1.14934097478398 1.02743421404599 1.11067221861968 1.12594958371707 1.10276253722735 1.09400842374015 1.11872814460674 1.09352598372552 1.1627620959144 1.0868911871468 1.07721590605308
"Drummond_1" 1.39280074129513 1.03761211961846 1.10054440261857 1.16231473502241 1.16119433791894 1.0390345784743 1.1025896287368 1.07292373259984 0 0.534631928454156 1.15550467869763 0.951002378968502 1.1743098214094 1.05887865116809 1.21369030311201 1.15907369275995 1.11536248067984 1.09676580151802 1.18500180842526 1.1359622431445 1.24281870178455 1.1099267466378 1.06587506114138
"Drummond_2" 1.33975897706588 0.980339202386431 1.03994167983955 1.13951311586104 1.23121966675008 0.930723704664712 1.02331557851231 0.975672730085282 0.534631928454156 0 1.16048424218615 0.967909260967418 1.08931239009469 0.976991333324606 1.10761529090814 1.11939532434547 1.09288195739472 1.10505836023027 1.1283827104718 1.08206937365681 1.2189272531796 1.1028047365049 1.05099951496794
"Espanca" 1.27449138133147 1.00902926834957 1.25648548555524 1.16538897236862 1.18211056203863 1.04685458991195 1.08962829045699 1.0367207621577 1.15550467869763 1.16048424218615 0 1.22292403221956 1.31902803532998 1.30024812821562 1.32834838891244 1.22358500750577 0.999989222711916 1.11544826170751 1.09680787901074 1.09934179041458 1.13962783158643 1.15632088740499 1.27338290781347
"Feijó" 1.09420710438061 0.89222454814107 0.846687904961847 1.20448022921341 1.33639647579691 1.16181202938759 1.20169127732876 1.12877281187413 0.951002378968502 0.967909260967418 1.22292403221956 0 0.948689444712124 0.970611528307808 0.927431199768721 0.986924030082081 1.12529747175858 1.02363363505184 1.22134010815776 1.16080395620454 1.29947834000888 1.20990894692766 1.14384344983586
"Junqueiro_1" 0.910721339031812 0.779958367983991 0.719918360687028 1.31511963160129 1.45567661722443 1.16912471873432 1.26887150692933 1.14934097478398 1.1743098214094 1.08931239009469 1.31902803532998 0.948689444712124 0 0.57041157414464 0.762630069543611 0.885011384770142 1.12656765395563 0.901402184782998 1.41397369406007 1.23450876331636 1.42898453173968 1.42651326529278 1.1794374318129
"Junqueiro_2" 1.08024823365913 0.886878575489191 0.794548474178063 1.18037748933932 1.38490154419276 1.06580996820486 1.16521982372632 1.02743421404599 1.05887865116809 0.976991333324606 1.30024812821562 0.970611528307808 0.57041157414464 0 0.813087450774548 0.855844556027262 1.05106202594706 0.823781979989677 1.37170652717839 1.177555610645 1.33016679469677 1.30313501101818 1.14305888392087
"Leal_1" 0.94825758033146 0.817523342367531 0.725029370530021 1.30446074231564 1.40301552879373 1.20484700319317 1.34282836873097 1.11067221861968 1.21369030311201 1.10761529090814 1.32834838891244 0.927431199768721 0.762630069543611 0.813087450774548 0 0.536499422815749 1.02359068814108 0.925651228005376 1.43717849247635 1.35039580791091 1.48661151107132 1.470204616032 1.11705150184973
"Leal_2" 1.00231398005348 0.86898389225717 0.85231658932444 1.26121507642494 1.37718828245783 1.25560954343739 1.31931089410301 1.12594958371707 1.15907369275995 1.11939532434547 1.22358500750577 0.986924030082081 0.885011384770142 0.855844556027262 0.536499422815749 0 0.886156830072174 0.795624620174344 1.40631754669973 1.30365421006697 1.42799567978563 1.39044323421027 1.13989327427101
"Nobre_1" 1.20645141725875 0.960471288276356 1.08506834995383 1.19495680917141 1.30013265575888 1.09085556048269 1.12277894749922 1.10276253722735 1.11536248067984 1.09288195739472 0.999989222711916 1.12529747175858 1.12656765395563 1.05106202594706 1.02359068814108 0.886156830072174 0 0.613026658639156 1.22798894926749 1.17833724295651 1.22396765058454 1.23777051396265 1.21976668376529
"Nobre_2" 1.0516896285385 0.9036306250274 0.876112861249699 1.17944480378305 1.30316863974097 1.11231402859157 1.13605517002594 1.09400842374015 1.09676580151802 1.10505836023027 1.11544826170751 1.02363363505184 0.901402184782998 0.823781979989677 0.925651228005376 0.795624620174344 0.613026658639156 0 1.28184564912719 1.17819437710763 1.27507636486036 1.30081207008802 1.15193389562365
"Pessoa_1" 1.51808750084015 1.25542992687967 1.38095877422652 0.999182675390375 1.06262695770205 0.882552042884384 0.944583051858862 1.11872814460674 1.18500180842526 1.1283827104718 1.09680787901074 1.22134010815776 1.41397369406007 1.37170652717839 1.43717849247635 1.40631754669973 1.22798894926749 1.28184564912719 0 0.517301841967391 0.557518009800486 0.525139336856476 1.0746758752951
"Pessoa_2" 1.42417333455417 1.13359539133372 1.20345617942915 0.932852758416319 0.99366696959045 0.877211721729993 0.983419388461056 1.09352598372552 1.1359622431445 1.08206937365681 1.09934179041458 1.16080395620454 1.23450876331636 1.177555610645 1.35039580791091 1.30365421006697 1.17833724295651 1.17819437710763 0.517301841967391 0 0.535956306880214 0.604959804173604 1.04570932679484
"Pessoa_3" 1.55571840331425 1.2475102213454 1.3671913105703 0.988557921575433 0.996941670785499 0.967768958927396 0.99421833256113 1.1627620959144 1.24281870178455 1.2189272531796 1.13962783158643 1.29947834000888 1.42898453173968 1.33016679469677 1.48661151107132 1.42799567978563 1.22396765058454 1.27507636486036 0.557518009800486 0.535956306880214 0 0.487804708460993 1.11283472805839
"Pessoa_4" 1.5575921383798 1.26128194761448 1.40058771513466 1.00187711524375 1.0189820653441 0.931228157121716 0.926459022367969 1.0868911871468 1.1099267466378 1.1028047365049 1.15632088740499 1.20990894692766 1.42651326529278 1.30313501101818 1.470204616032 1.39044323421027 1.23777051396265 1.30081207008802 0.525139336856476 0.604959804173604 0.487804708460993 0 1.03659530833662
"Reis_1" 1.3253443035392 1.20114792207995 1.09950623160767 1.02270096440405 1.10415303486986 1.03356630475814 0.981560476909502 1.07721590605308 1.06587506114138 1.05099951496794 1.27338290781347 1.14384344983586 1.1794374318129 1.14305888392087 1.11705150184973 1.13989327427101 1.21976668376529 1.15193389562365 1.0746758752951 1.04570932679484 1.11283472805839 1.03659530833662 0
