"Arriaga" "Assis_1" "Assis_2" "Campos" "Drummond_1" "Drummond_2" "Espanca" "Feijó" "Junqueiro_1" "Junqueiro_2" "Leal_1" "Leal_2" "Nobre_1" "Nobre_2" "Pascoaes" "Pessoa_1" "Pessoa_2" "Pessoa_3" "Pessoa_4" "Pessoa_5" "Pessoa_6"
"Arriaga" 0 0.929358010213094 0.941012287035263 1.22754110306178 1.18228009880241 1.1981119191082 1.22456741237151 1.00312184948561 0.853328200902637 0.943096402848802 0.845992896728718 0.939164259548582 1.07027977472548 1.01497274113082 1.00940315476979 1.40509621686077 1.30467940303139 1.31000965768221 1.41893459382168 1.37173562023408 1.41817015663881
"Assis_1" 0.929358010213094 0 0.714501175971877 1.14551875902094 1.01543893262336 1.04240893471758 1.08078323722353 0.922315280601397 0.868377956724351 0.952778824319548 0.839043848581549 0.918024097684496 0.923518810027736 0.943136654992148 0.974247263318342 1.22569276510503 1.12495349613924 1.12437143314369 1.27097707878655 1.15903229478956 1.21801337847655
"Assis_2" 0.941012287035263 0.714501175971877 0 1.13477472515806 1.00435104765056 1.04780083965336 1.19044016706869 0.905614564953169 0.864313384045896 0.891149212628717 0.800076112796135 0.875237925187148 0.974668688949762 0.911973763620985 0.990023678395085 1.30791379335912 1.20118082256971 1.20242743857545 1.3334403823764 1.265450732429 1.3425326402454
"Campos" 1.22754110306178 1.14551875902094 1.13477472515806 0 0.982181201485128 0.992595400608918 1.14836140798115 1.18446990411535 1.11147025099709 1.13133169665518 1.18062842659921 1.19832278240171 1.11531625370821 1.11391519954393 1.27092535185663 1.03369895001755 0.852675096889322 0.863304914575005 0.977868732558167 0.993721027384682 1.03523638812688
"Drummond_1" 1.18228009880241 1.01543893262336 1.00435104765056 0.982181201485128 0 0.677479436975039 1.14663103998318 1.02296629863075 1.0913794470576 1.08572698772735 1.09713225075995 1.08562528059219 1.06559786382135 1.03492137990854 1.08424894851504 1.20848709730622 1.06571272735555 1.06591757135097 1.23177698023108 1.13116138722892 1.1610457842801
"Drummond_2" 1.1981119191082 1.04240893471758 1.04780083965336 0.992595400608918 0.677479436975039 0 1.18698840402387 1.07181110158332 1.10155115302817 1.10938790791944 1.13839987139091 1.12784181850347 1.13275524949217 1.10362820744171 1.16220511010138 1.23362039050385 1.09685357183386 1.10239485805093 1.24130863059501 1.15971415759514 1.20014550404419
"Espanca" 1.22456741237151 1.08078323722353 1.19044016706869 1.14836140798115 1.14663103998318 1.18698840402387 0 1.09142162434017 1.19022045314835 1.22022963917202 1.20395419433704 1.19829125813221 1.05457340642974 1.09289405458742 1.09716644543764 1.24184076090024 1.07826221941123 1.08210651381093 1.2299475277554 1.14801770326444 1.15448527963556
"Feijó" 1.00312184948561 0.922315280601397 0.905614564953169 1.18446990411535 1.02296629863075 1.07181110158332 1.09142162434017 0 0.928165896831891 0.965164941056573 0.940317145003412 0.992719259117218 1.0196762267105 0.977928843618031 0.981972111770643 1.28320293874269 1.14139222862967 1.14008065202722 1.27388248398815 1.16352108054459 1.23900628543951
"Junqueiro_1" 0.853328200902637 0.868377956724351 0.864313384045896 1.11147025099709 1.0913794470576 1.10155115302817 1.19022045314835 0.928165896831891 0 0.612360883215009 0.777244413188026 0.847710706313174 0.948970156986752 0.850488330954656 1.01377958383574 1.3355998817156 1.20892564733919 1.2140452155885 1.32259876168388 1.27933220304445 1.33696987390005
"Junqueiro_2" 0.943096402848802 0.952778824319548 0.891149212628717 1.13133169665518 1.08572698772735 1.10938790791944 1.22022963917202 0.965164941056573 0.612360883215009 0 0.819588838509877 0.886075697453472 0.960120485019408 0.855230801993976 1.05567391739981 1.33988167872304 1.23232292666373 1.23362236797846 1.33945982068754 1.25902097315234 1.35311993825096
"Leal_1" 0.845992896728718 0.839043848581549 0.800076112796135 1.18062842659921 1.09713225075995 1.13839987139091 1.20395419433704 0.940317145003412 0.777244413188026 0.819588838509877 0 0.612250174450077 0.91955911805771 0.906669913142776 0.995793445746426 1.42543221488373 1.30728200822687 1.3127916055885 1.4055260263412 1.34303296908874 1.40669365038296
"Leal_2" 0.939164259548582 0.918024097684496 0.875237925187148 1.19832278240171 1.08562528059219 1.12784181850347 1.19829125813221 0.992719259117218 0.847710706313174 0.886075697453472 0.612250174450077 0 0.889305636734763 0.863870318626152 1.03619489796144 1.39138051558558 1.28089689167732 1.28705220335337 1.38538382213583 1.35737103754358 1.41617473253603
"Nobre_1" 1.07027977472548 0.923518810027736 0.974668688949762 1.11531625370821 1.06559786382135 1.13275524949217 1.05457340642974 1.0196762267105 0.948970156986752 0.960120485019408 0.91955911805771 0.889305636734763 0 0.647280408982991 1.07592539421041 1.30967805097054 1.15189896942613 1.15448767704323 1.30901746193453 1.21876045729824 1.23159056211691
"Nobre_2" 1.01497274113082 0.943136654992148 0.911973763620985 1.11391519954393 1.03492137990854 1.10362820744171 1.09289405458742 0.977928843618031 0.850488330954656 0.855230801993976 0.906669913142776 0.863870318626152 0.647280408982991 0 1.0659252557399 1.32210693802388 1.17277922099549 1.17100221025997 1.29437804232781 1.23487384209075 1.26325515810217
"Pascoaes" 1.00940315476979 0.974247263318342 0.990023678395085 1.27092535185663 1.08424894851504 1.16220511010138 1.09716644543764 0.981972111770643 1.01377958383574 1.05567391739981 0.995793445746426 1.03619489796144 1.07592539421041 1.0659252557399 0 1.36716815398066 1.25776432252491 1.25662352846345 1.37278730379487 1.31365498060405 1.37249511547469
