"Arriaga" "Assis_1" "Assis_2" "Campos" "Drummond_1" "Drummond_2" "Espanca" "Feijó" "Junqueiro_1" "Junqueiro_2" "Leal_1" "Leal_2" "Nobre_1" "Nobre_2" "Pascoaes" "Pessoa_1" "Pessoa_2" "Pessoa_3" "Pessoa_4" "Pessoa_5" "Pessoa_6"
"Arriaga" 0 0.933114870930488 1.0303458584896 1.34608547468451 1.39970648136747 1.35773819022572 1.26796794516773 1.12231310806412 0.951950109138681 1.08090744663924 0.951443347347752 0.998393959504805 1.21372324289801 1.03074299155962 1.01278174600363 1.6778095973351 1.4830804260328 1.49042714427611 1.46229237640928 1.5435279920603 1.62732682215882
"Assis_1" 0.933114870930488 0 0.650981220746675 1.25020035411883 1.06120816936761 0.99776043087716 1.04686896525249 0.913891436906388 0.803881666296643 0.887025809690524 0.833287236475008 0.878191129765298 0.954468888480704 0.853800783512106 0.912703134481621 1.31422231561291 1.18380760636018 1.18633382318951 1.22960244041415 1.21164650153163 1.3350763885702
"Assis_2" 1.0303458584896 0.650981220746675 0 1.21627400796254 1.07528701589242 1.0346417086151 1.2849047662475 0.85411599507626 0.728201430564807 0.812018519167496 0.760294006160806 0.856865927961639 1.0717171320216 0.845994462017005 1.00867479313455 1.50103200076854 1.32461912826547 1.33375120372396 1.26243090066032 1.39228503765791 1.49469825412284
"Campos" 1.34608547468451 1.25020035411883 1.21627400796254 0 1.11197495077013 1.02154469400972 1.08461985990424 1.18837681631446 1.20404416753824 1.0892318101516 1.24217399243164 1.23700363577963 1.0732285307138 1.06915982604585 1.32545024785212 1.19301906958767 0.961006253856286 0.980974612474556 0.946876627944831 1.03986921106714 1.12657822193595
"Drummond_1" 1.39970648136747 1.06120816936761 1.07528701589242 1.11197495077013 0 0.550156572689544 1.22470175725749 0.9522864202415 1.12597464254861 1.01170586922219 1.2039865044673 1.15644550704898 1.10723815358572 1.06770449012336 1.12989091092811 1.35433572022847 1.19727411872438 1.20662311801584 1.22751813003905 1.2124999211421 1.31287190420738
"Drummond_2" 1.35773819022572 0.99776043087716 1.0346417086151 1.02154469400972 0.550156572689544 0 1.20301072674264 0.966106401985415 1.07094111262498 0.94520834680768 1.08994203193141 1.10281604178087 1.06608123312321 1.0462327058003 1.17938913308573 1.3300525877769 1.1358284562134 1.14288203259768 1.18931376301192 1.15525769431962 1.28272486609744
"Espanca" 1.26796794516773 1.04686896525249 1.2849047662475 1.08461985990424 1.22470175725749 1.20301072674264 0 1.24271520878118 1.3384115430451 1.3185811933626 1.31155279745395 1.19484597588117 0.975822791028629 1.07353989805655 0.991302191889718 1.29164380537946 1.0702745808553 1.08311763482697 1.1181478481191 1.14663011013374 1.19790732431165
"Feijó" 1.12231310806412 0.913891436906388 0.85411599507626 1.18837681631446 0.9522864202415 0.966106401985415 1.24271520878118 0 0.937534913297013 0.996975202084783 0.936039036158515 0.993224248531272 1.12894543646856 1.01650582047862 1.03546665956647 1.40511170032159 1.22385560051985 1.23118068751369 1.19944260975104 1.22063774224336 1.40296118720915
"Junqueiro_1" 0.951950109138681 0.803881666296643 0.728201430564807 1.20404416753824 1.12597464254861 1.07094111262498 1.3384115430451 0.937534913297013 0 0.55098115832967 0.749824628698057 0.890763159516457 1.11977239758252 0.861916005613127 1.08533872994998 1.50889332932433 1.36929836226993 1.38149538622144 1.30167461576321 1.44346759267194 1.54899601282251
"Junqueiro_2" 1.08090744663924 0.887025809690524 0.812018519167496 1.0892318101516 1.01170586922219 0.94520834680768 1.3185811933626 0.996975202084783 0.55098115832967 0 0.777129514803277 0.81786936577945 1.03575455410393 0.78440347949341 1.1074598711084 1.43209097230367 1.25340525198975 1.25789208099039 1.19741985760077 1.30071033905936 1.4294824740608
"Leal_1" 0.951443347347752 0.833287236475008 0.760294006160806 1.24217399243164 1.2039865044673 1.08994203193141 1.31155279745395 0.936039036158515 0.749824628698057 0.777129514803277 0 0.532502714573559 1.00993252716232 0.910105212320277 1.04107127073869 1.56506218006079 1.39105724479952 1.39249415182971 1.33586072039109 1.42840277907488 1.55382810402848
"Leal_2" 0.998393959504805 0.878191129765298 0.856865927961639 1.23700363577963 1.15644550704898 1.10281604178087 1.19484597588117 0.993224248531272 0.890763159516457 0.81786936577945 0.532502714573559 0 0.865093941250262 0.769295911762876 1.04289592179102 1.50568768435878 1.32608858632412 1.33490317180033 1.32709995679696 1.3870220127516 1.48447641272478
"Nobre_1" 1.21372324289801 0.954468888480704 1.0717171320216 1.0732285307138 1.10723815358572 1.06608123312321 0.975822791028629 1.12894543646856 1.11977239758252 1.03575455410393 1.00993252716232 0.865093941250262 0 0.624595288000972 1.1090333830391 1.31944506120411 1.112283446451 1.11988531403113 1.19835594112096 1.1348116532907 1.22757810186243
"Nobre_2" 1.03074299155962 0.853800783512106 0.845994462017005 1.06915982604585 1.06770449012336 1.0462327058003 1.07353989805655 1.01650582047862 0.861916005613127 0.78440347949341 0.910105212320277 0.769295911762876 0.624595288000972 0 1.03539743042566 1.3545389466051 1.13501924506715 1.13260591362546 1.15610161891005 1.14440676917474 1.28127594762012
"Pascoaes" 1.01278174600363 0.912703134481621 1.00867479313455 1.32545024785212 1.12989091092811 1.17938913308573 0.991302191889718 1.03546665956647 1.08533872994998 1.1074598711084 1.04107127073869 1.04289592179102 1.1090333830391 1.03539743042566 0 1.55294115585388 1.34740151030903 1.35412892678425 1.27909023886278 1.4188525413768 1.47685359435643
"Pessoa_1" 1.6778095973351 1.31422231561291 1.50103200076854 1.19301906958767 1.35433572022847 1.3300525877769 1.29164380537946 1.40511170032159 1.50889332932433 1.43209097230367 1.56506218006079 1.50568768435878 1.31944506120411 1.3545389466051 1.55294115585388 0 0.403659130847444 0.404255943708139 0.635929215613161 0.581360961293968 0.579705190566582
"Pessoa_2" 1.4830804260328 1.18380760636018 1.32461912826547 0.961006253856286 1.19727411872438 1.1358284562134 1.0702745808553 1.22385560051985 1.36929836226993 1.25340525198975 1.39105724479952 1.32608858632412 1.112283446451 1.13501924506715 1.34740151030903 0.403659130847444 0 0.0586760136669442 0.399263714184932 0.397605171297151 0.429333118274355
"Pessoa_3" 1.49042714427611 1.18633382318951 1.33375120372396 0.980974612474556 1.20662311801584 1.14288203259768 1.08311763482697 1.23118068751369 1.38149538622144 1.25789208099039 1.39249415182971 1.33490317180033 1.11988531403113 1.13260591362546 1.35412892678425 0.404255943708139 0.0586760136669442 0 0.39170698479179 0.398015851273386 0.427626180838009
