"Arriaga" "Assis_1" "Assis_2" "Campos" "Drummond_1" "Drummond_2" "Espanca" "Feijó" "Junqueiro_1" "Junqueiro_2" "Leal_1" "Leal_2" "Nobre_1" "Nobre_2" "Pascoaes" "Pessoa_1" "Pessoa_2" "Pessoa_3" "Pessoa_4" "Pessoa_5" "Pessoa_6"
"a" 4.44970064306305 4.48333603413817 4.25558008339465 3.30878999152929 2.78349398895267 2.82502162006342 4.21707811735086 5.23835417799529 4.47390932420873 4.02455661664393 3.51493848857645 3.4761696545693 3.3256291730868 3.8497446317755 4.54204766901514 3.6073329390893 3.87708046734223 3.84183904426381 4.39256034823902 3.49560580626049 3.94438418301943
"que" 3.5035848917141 2.54955976881111 3.102771645818 3.48081058187268 2.03617459114047 1.84491207840876 3.86740331491713 3.32608301613196 2.40376390076989 1.8514909374391 3.44171060339777 2.40489724529952 3.53107344632768 3.03695974518095 3.09548793284365 5.03646757342795 4.87299219158706 4.94794229368813 4.5607439651761 4.96692011454527 5.20658712158564
"e" 3.74011382955133 3.27337546588883 4.07162129016434 3.18368410764319 3.16256904581393 3.08446238108965 3.44779355199664 3.04513322457858 3.5158254918734 4.6677061001754 4.03851786760398 4.67861827721906 2.92116076014381 2.96556647811522 4.8493479238495 3.02582298442736 3.35199860494856 3.37538625046744 4.01662049861496 3.1006220993384 3.48091904151464
"o" 3.59228324340306 3.39221087884189 3.63829613277737 2.84224929953737 2.61020253438752 2.78658595176324 2.7414504510805 3.36233460213884 3.86655260906758 3.8296628337556 3.56619800820152 2.67818102317446 2.27272727272727 3.06991048382668 2.79568280617599 4.02128917800118 3.64844703648447 3.72178157413057 3.7989711119905 3.44623284289523 3.66827729020807
"de" 1.98832138369429 2.50634689137363 2.6081268906876 3.59418778914446 3.37918336402036 3.90122033246853 3.36387159941255 2.45604495196665 2.68605645851155 2.47515104268174 1.51947861745753 1.89112374289462 2.56805341551104 2.92712394969521 3.15544895817718 2.54287403903016 2.54596888260255 2.5113660965577 2.55243371586862 2.62664165103189 2.28774282615127
"não" 0.406534111907754 1.08572354561659 0.895266127054206 1.50387697921418 1.75457597747211 1.47977322955703 0.951115462619764 0.516585100598151 0.521813515825492 0.467745078931982 0.5199179847686 0.677743769129864 1.27760657421674 0.928112471854577 0.487183330834957 2.29647151586832 2.17395516459669 2.16890708339074 1.78076770874555 2.18228498074454 2.3764914702692
"é" 0.532190110133787 0.65359477124183 0.502820701496198 0.973480158988727 1.09390230694249 0.884020370904199 1.1888943282747 0.670654341127424 1.17194183062447 0.808809198986552 0.662712360867018 0.579361609094884 0.969440164355419 0.87868636388599 1.01933743067006 2.08949339641238 1.86394373292515 1.86777933043358 1.67194301543332 1.74780290313025 1.93274824967952
"um" 1.07177174957499 1.2585750553665 0.923881939334478 0.936990942855281 1.07224087512185 1.2203324685308 0.979089446814463 1.17817654522385 2.31822070145423 2.04638472032742 1.56341534856473 1.65063401836467 0.841037493579866 0.955571420726015 0.86193973916954 1.23201261580919 1.11410358256961 1.12972111240135 1.19707162643451 1.31332082551595 1.00581796666995
"do" 1.62613644763101 1.49624588127262 1.34085520398986 1.07512868964618 0.823134409184447 0.97050062457961 0.755297573256871 1.00598151169114 1.47134302822926 1.05242642759696 1.57439953134153 1.0166156536948 0.738315356959425 0.933604261628865 1.05681307150352 1.29114922136803 1.11991629691345 1.12578480190517 1.29600316580926 0.987459267305224 0.976235085297308
"em" 1.92918914923498 1.05331388753849 0.645899762897555 0.900501726721835 1.13722517058378 1.03776304410493 1.32177075319952 1.49537792278412 0.846877673224979 1.29604365620737 0.867750439367311 0.890905115872322 0.905238828967643 0.697457301334505 1.701394093839 1.05460279913266 1.0850400108504 1.09626247318388 1.05856747130985 1.06645600868964 1.08470565033034
"se" 0.93872422204154 1.08032193593691 1.00972937617529 0.922655893659999 1.3971623524315 1.71038723935812 0.874187006084342 1.55881819829618 0.761334473909324 0.711362307542389 0.59680726420621 0.694140795802361 0.770416024653313 0.653522983140205 0.989356918003298 1.18273211117682 1.21873244075875 1.20254285658053 1.31578947368421 1.21457489878543 1.0551227689577
"da" 1.35264986325671 1.19375573921028 1.32041533807538 0.935687756564801 0.606520090978014 0.845584702604017 0.601440660186027 1.06035889070147 1.40290846877673 0.711362307542389 1.21192149970709 0.74879755137735 0.757575757575758 0.752375199077379 1.22920101933743 0.758919771338459 0.80021700800217 0.793166564978645 0.929956470122675 0.770218228498074 0.680406271570851
"me" 0.561756227363442 0.442931993734133 0.302510015534298 1.16895810256076 0.84479584100509 0.720668780628423 1.19588782432338 0.208446619539605 0.128314798973482 0.302085363476905 0.314879906268307 0.60122431132488 1.1748844375963 0.840243835465978 0.577124868835257 1.43899073526513 1.30398558446843 1.29701430848865 1.26632370399683 1.5305618643231 1.23262005719357
"os" 1.04959716165275 0.864257548749527 1.35720709672145 1.09988922916531 0.833965125094769 1.19150571730566 0.986082942863137 0.679717237629146 1.14627887082977 1.10114987331904 1.40963678968951 1.59051158723218 0.918079096045198 1.13130869350321 0.652076150502174 0.344963532426572 0.548332719769042 0.52746560648704 0.455085081123862 0.710970672459761 0.41416033921704
"as" 0.864808928967403 0.956084913304165 0.964761671163437 0.914836775917117 0.541535795516084 0.701450946478332 0.741310581159522 0.7431575131412 0.76988879384089 0.828298577275385 1.2997949619215 1.25710537822475 0.828197226502311 0.96655500027459 0.846949482836156 0.354819633353046 0.503768576466257 0.505815898758094 0.534230312623664 0.602350153056186 0.463465141504783
"eu" 0.613496932515337 0.523956138929401 0.17987082004742 0.946113246888643 0.238275750027077 0.134524839050639 1.17490733617735 0.244698205546493 0.29940119760479 0.302085363476905 0.527240773286467 0.579361609094884 1.19414483821263 0.66450656268878 0.667066406835557 0.936329588014981 0.866094437232373 0.871892774902084 0.821131776810447 0.849214969882492 1.0551227689577
"como" 0.606105403207924 0.588775455085615 0.654075709263347 0.768879911383332 0.444059352323189 0.393965600076871 0.804252045597594 1.09661047670836 0.863986313088109 0.652894172675892 1.01054481546573 0.890905115872322 0.507190549563431 0.604096875171618 0.397241792834657 0.699783165779618 0.736277150219914 0.718376665551379 0.73209339137317 0.602350153056186 0.729711073858594
"no" 0.680020696282061 0.550964187327824 0.71130733382389 0.635954909754349 1.13722517058378 1.19150571730566 0.433596755017833 0.951604132680805 0.513259195893926 0.487234457220815 0.695664909197422 0.721469173589856 0.667693888032871 0.516228238783019 0.704542047669015 0.739207569485512 0.724651721532231 0.722312976047551 0.583696082311041 0.641848523748395 0.769154915688788
"na" 0.569147756670855 0.318694971101388 0.572316245605429 0.615103929106666 0.736488681901874 0.912847122129336 0.412616266871809 0.806597788653254 0.530367835757057 0.623660105242643 0.637082601054482 0.475513773502405 0.513610683102208 0.653522983140205 0.809473842002698 0.473092844470727 0.627773149134874 0.647523076620284 0.761772853185596 0.622099338402291 0.650823390198205
"uma" 0.229137408529825 0.545562577648139 0.363829613277737 0.664625008144914 0.671504386439944 0.643797444028058 0.39862927477446 0.570962479608483 0.778443113772455 0.711362307542389 0.530902167545401 0.562964582422387 0.558551617873652 0.774342358174529 0.292309998500974 0.551941651882515 0.621960434791033 0.604223661162392 0.662841313810843 0.582600967710082 0.591657627452914
"ao" 0.672629166974647 0.648193161562146 0.813506663396288 0.505636280706327 0.227445034116755 0.413183434226963 0.538499195747954 0.634402755120537 0.898203592814371 0.487234457220815 0.651728178090217 0.508307826847398 0.603492552645095 0.713932670657367 0.569629740668565 0.335107431500099 0.416577861308636 0.421185223090397 0.336367233874159 0.493729633652612 0.473326101962331
"meu" 0.347401877448444 0.232269216226435 0.11037527593819 0.478269368606242 0.357413625040615 0.249831843951187 0.874187006084342 0.335327170563712 0.171086398631309 0.126680958877412 0.150117164616286 0.344337560122431 0.654853620955316 0.642539403591631 0.891920251836306 0.87719298245614 0.784716436418593 0.801039185970989 0.682627621685793 0.770218228498074 0.966374124839759
"por" 0.768719047971025 0.334899800140442 0.22075055187638 0.781911774288135 0.205783602296112 0.317094263476506 0.38464228267711 0.199383723037883 0.367835757057314 0.399532254921068 0.292911540714704 0.338871884564932 0.507190549563431 0.444834971717283 0.247339229500824 0.374531835205993 0.497955862122416 0.495975122517664 0.504550850811239 0.57272637503703 0.591657627452914
"com" 0.480449404981891 0.275482093663912 0.404709345106696 0.716752459764123 0.368244340950937 0.201787258575959 0.188824393314218 0.398767446075766 0.513259195893926 0.711362307542389 0.41373755125952 0.344337560122431 0.61633281972265 0.593113295623044 0.284814870334283 0.325251330573625 0.443703861579896 0.446771241315515 0.554016620498615 0.394983706922089 0.424021299674588
"para" 0.221745879222411 0.183654729109275 0.183958793230316 0.836645598488304 0.758150113722517 0.230614009801095 0.25176585775229 0.244698205546493 0.513259195893926 0.60417072695381 0.248974809607499 0.174901617839965 0.365947611710324 0.477785710363007 0.277319742167591 0.433668440764833 0.39332700393327 0.401503670609538 0.425405619311437 0.365359928902933 0.404299378759491
"mas" 0.14043905684086 0.286285313023281 0.327037854631674 0.40659412262983 0.888118704646377 0.586143941577784 0.167843905168194 0.679717237629146 0.18819503849444 0.194893782888326 0.263620386643234 0.306077831219939 0.481510015408321 0.532703608105882 0.284814870334283 0.571653853735462 0.534769719633411 0.533370072231298 0.415512465373961 0.631973931075343 0.581796666995365
"sem" 0.25870352575948 0.140441851671798 0.130815141852669 0.377924024239265 0.530705079605762 0.4420101854521 0.209804881460242 0.435019032082654 0.256629597946963 0.380042876632235 0.311218512009373 0.306077831219939 0.276065742167437 0.280081278488659 0.202368460500675 0.709639266706091 0.629710720582822 0.62980967938751 0.603482390185991 0.592475560383134 0.6902672320284
"mais" 0.317835760218789 0.351104629179495 0.519172594227782 0.368801720205903 0.509043647785119 0.432401268377054 0.482551227358557 0.453144825086097 0.290846877673225 0.331319430910154 0.457674282366725 0.69960647135986 0.552131484334874 0.565654346751606 0.337280767501124 0.315395229647152 0.292573288640019 0.299159597709067 0.247328848436882 0.365359928902933 0.147914406863228
"ser" 0.118264468918619 0.140441851671798 0.0694955441092306 0.443083338763276 0.0541535795516084 0.0864802536754108 0.342681306385062 0.0815660685154976 0.0513259195893926 0.0779575131553304 0.175746924428823 0.114779186707477 0.109142270159219 0.104344005711461 0.0824464098336082 0.916617386162034 0.707213578500707 0.728217441791809 0.771666007123071 0.592475560383134 0.660684350655754
