"Caeiro_1" "Caeiro_2" "Campos_1" "Campos_2" "Campos_3" "Campos_4" "Pessoa_1" "Pessoa_2" "Pessoa_3" "Pessoa_4" "Reis_1"
"Caeiro_1" 0 0.753236147238283 1.18515495582567 1.38181108279715 1.27118539093334 1.05279396261857 1.30691359700609 1.26821710315682 1.15796302552216 1.17387506905511 1.40339793061269
"Caeiro_2" 0.753236147238283 0 1.30646417731301 1.3807308136586 1.36311139113668 1.18070307844441 1.46071884826195 1.44715929432469 1.24339444726669 1.34545572231463 1.51159523106532
"Campos_1" 1.18515495582567 1.30646417731301 0 0.936720371298943 0.787789916083203 0.778907617106875 1.13726052213244 1.11343853234481 1.0108133993465 1.13890895284363 1.23609983628974
"Campos_2" 1.38181108279715 1.3807308136586 0.936720371298943 0 0.826914566294435 1.04697596343604 1.35719210988859 1.32497101241735 1.22197927290105 1.30333840696106 1.37485442085757
"Campos_3" 1.27118539093334 1.36311139113668 0.787789916083203 0.826914566294435 0 0.930925261700332 1.30543726949156 1.33521655638092 1.21695153399917 1.26229707543824 1.39477924286237
"Campos_4" 1.05279396261857 1.18070307844441 0.778907617106875 1.04697596343604 0.930925261700332 0 1.07013030706949 1.03260464657582 0.968527574661967 0.980425230300564 1.17595317385177
"Pessoa_1" 1.30691359700609 1.46071884826195 1.13726052213244 1.35719210988859 1.30543726949156 1.07013030706949 0 0.569359507333888 0.678427884028038 0.596782695309952 1.28064286854086
"Pessoa_2" 1.26821710315682 1.44715929432469 1.11343853234481 1.32497101241735 1.33521655638092 1.03260464657582 0.569359507333888 0 0.637815459837799 0.663159760376568 1.18407051520244
"Pessoa_3" 1.15796302552216 1.24339444726669 1.0108133993465 1.22197927290105 1.21695153399917 0.968527574661967 0.678427884028038 0.637815459837799 0 0.722978643791062 1.19947360476082
"Pessoa_4" 1.17387506905511 1.34545572231463 1.13890895284363 1.30333840696106 1.26229707543824 0.980425230300564 0.596782695309952 0.663159760376568 0.722978643791062 0 1.2961859778401
"Reis_1" 1.40339793061269 1.51159523106532 1.23609983628974 1.37485442085757 1.39477924286237 1.17595317385177 1.28064286854086 1.18407051520244 1.19947360476082 1.2961859778401 0
