"Caeiro_1" "Caeiro_2" "Campos_1" "Campos_2" "Campos_3" "Campos_4" "Pessoa_1" "Pessoa_2" "Pessoa_3" "Pessoa_4" "Reis_1"
"que" 4.41063174114022 4.99270546279786 3.62659503022163 2.97350874031357 3.45626568835683 3.86100386100386 4.92253383016278 4.77912431587177 4.80627758705248 5.13454689354966 4.68827435821191
"a" 3.80392912172573 3.48516777435565 3.35795836131632 3.11767886105605 3.47557443521915 3.28770328770329 4.0792312218082 4.03635652853792 3.83521333987249 3.55164226355362 3.87550797898702
"e" 4.37211093990755 4.55503323066948 3.36755252806294 3.09064696341683 3.41764819463217 2.88990288990289 3.25554030202 3.2642689601251 3.83521333987249 3.19548872180451 3.11230052532461
"o" 3.25500770416025 3.40411736099854 2.91662669097189 2.66714723373581 2.4618652249469 3.31110331110331 3.50068640909982 3.80179827990618 3.91368317802845 3.6802532647408 3.60788978094955
"de" 2.29198767334361 2.28562165667045 3.40592919504941 3.82050819967562 3.64935315698011 3.59190359190359 2.20631496371838 2.5312744331509 2.4717999019127 3.03719825880491 2.03191594806225
"não" 2.44607087827427 2.69087372345599 1.85167418209728 1.00919084519733 1.32264916006951 1.93050193050193 2.27495587370073 1.87646598905395 2.27562530652281 2.22595963593194 2.07156308851224
"é" 2.16679506933744 2.69087372345599 1.05535834212799 0.666786808433952 0.926819849391774 1.38060138060138 1.73563443812512 2.01329163408913 1.68710152035311 1.99841709537 1.34800277529983
"me" 1.16525423728814 1.34543686172799 1.33358917777991 1.10830780320779 1.17783355860205 1.01790101790102 1.43165326534615 1.23143080531665 1.22609122118686 1.20696478037198 0.812766379224898
"se" 1.2904468412943 1.53995785378505 0.98819917490166 0.901063254640476 0.724078007337324 1.13490113490113 1.24534222396548 1.26075058639562 1.1378126532614 1.34546893549664 1.07047279214987
"do" 0.982280431432974 0.79429405089966 0.978605008155042 1.00018021265093 1.15852481173972 1.25190125190125 1.26495391253187 1.03596559812353 1.3339872486513 0.93984962406015 1.03082565169987
"um" 1.12673343605547 0.778083968228238 1.0073875083949 1.00919084519733 0.830276115080131 0.865800865800866 0.990390272602471 1.07505863956216 1.23589995095635 1.24653739612188 0.634354247199921
"em" 0.577812018489985 0.567352893499757 0.997793341648278 0.919084519733285 0.820621741648967 0.947700947700948 1.26495391253187 1.15324472243941 0.931829328102011 1.02888800949743 0.862325304787392
"os" 0.963020030816641 0.891554546928189 1.05535834212799 1.09929717066138 1.55435412241746 0.666900666900667 0.500098058442832 0.498436278342455 0.62775870524767 0.415512465373961 1.24888492417484
"eu" 0.934129429892142 1.05365537364241 1.04576417538137 0.720850603712381 1.22610542575787 0.772200772200772 0.872720141204158 1.03596559812353 0.853359489946052 0.781559161060546 0.227971057587471
"da" 0.876348228043143 0.79429405089966 0.969010841408424 0.819967561722833 0.91716547596061 1.01790101790102 0.921749362620122 0.703674745895231 0.97106424717999 0.652948159873368 0.743383883437407
"as" 1.15562403697997 0.923974712271033 0.825098340209153 1.1443503333934 1.10059857115273 0.631800631800632 0.42165130417729 0.488663017982799 0.519862677783227 0.623268698060942 0.832589949449896
"como" 1.10747303543914 1.06986545631383 0.825098340209153 0.883041989547666 0.588916779301023 0.737100737100737 0.755050009805844 0.684128225175919 0.66699362432565 0.662841313810843 0.664089602537417
"para" 1.00154083204931 1.00502512562814 0.834692506955771 0.693818706073166 0.791658621355474 1.08810108810109 0.42165130417729 0.390930414386239 0.402157920549289 0.435298773248912 0.545148181187432
"no" 0.587442218798151 0.583562976171178 0.623620838530174 0.684808073526762 0.627534273025681 0.585000585000585 0.77466169837223 0.80140734949179 0.617949975478176 0.633161851998417 0.614530676974923
"por" 0.712634822804314 0.826714216242503 0.64280917202341 0.675797440980357 0.965437343116432 0.819000819000819 0.402039615610904 0.478889757623143 0.64737616478666 0.494657696873763 0.485677470512439
"uma" 0.99191063174114 0.745663802885395 0.64280917202341 0.612723013155523 0.753041127630817 0.643500643500644 0.607962345557953 0.576622361219703 0.519862677783227 0.741986545310645 0.218059272474973
"na" 0.442989214175655 0.356621818771276 0.709968339249736 0.486574157505857 0.511681791851709 0.713700713700714 0.627574034124338 0.605942142298671 0.608141245708681 0.54412346656114 0.703736742987412
"com" 0.568181818181818 0.551142810828335 0.815504173462535 0.693818706073166 0.791658621355474 0.54990054990055 0.402039615610904 0.449569976544175 0.451201569396763 0.494657696873763 0.535236396074933
"meu" 0.269645608628659 0.421462149456962 0.633215005276792 0.468552892413047 0.463409924695887 0.374400374400374 0.794273386938615 0.869820172009382 0.68661108386464 0.761772853185596 0.198235702249975
"ser" 0.51040061633282 0.356621818771276 0.412549170104576 0.414489097134619 0.347557443521915 0.772200772200772 0.676603255540302 0.791634089132135 0.68661108386464 0.761772853185596 0.257706412924968
"tudo" 0.279275808936826 0.307991570757011 0.825098340209153 0.495584790052262 0.704769260474995 0.713700713700714 0.382427927044519 0.459343236903831 0.461010299166258 0.593589236248516 0.346912478937457
"mas" 0.635593220338983 0.891554546928189 0.39336083661134 0.396467832041809 0.35721181695308 0.491400491400491 0.451068837026868 0.557075840500391 0.529671407552722 0.633161851998417 0.406383189612449
"sem" 0.346687211093991 0.356621818771276 0.479708337330903 0.198233916020905 0.453755551264723 0.374400374400374 0.696214944106688 0.596168881939015 0.64737616478666 0.672734467748318 0.327088908712459
"vida" 0.154083204930663 0.275571405414168 0.450925837091049 0.396467832041809 0.521336165282873 0.514800514800515 0.460874681310061 0.459343236903831 0.372731731240804 0.464978235061338 0.931707800574884
