"Arriaga" "Assis_1" "Assis_2" "Caeiro_1" "Caeiro_2" "Campos_1" "Campos_2" "Campos_3" "Campos_4" "Drummond_1" "Drummond_2" "Espanca" "Feijó" "Junqueiro_1" "Junqueiro_2" "Leal_1" "Leal_2" "Nobre_1" "Nobre_2" "Pascoaes" "Pessoa_1" "Pessoa_2" "Pessoa_3" "Pessoa_4" "Reis_1"
"Arriaga" 0 0.885488303413168 0.976989355566153 1.48792397609388 1.52677133550889 1.2171080296256 1.36688958386674 1.40933662006089 1.37519965014629 1.35979274562421 1.29729552857523 1.24742622650111 1.07874577655612 0.887311430891365 1.04794940662236 0.95047323442293 0.979543404830616 1.17868750734648 0.989024144409967 1.02835170128646 1.56753521697026 1.52531782982502 1.50457221076065 1.42894274682863 1.27876085726082
"Assis_1" 0.885488303413168 0 0.616348256845801 1.27441616516448 1.41320829473613 1.0741525187411 1.22718743910663 1.18658278735399 1.17381600405788 1.02154061331899 0.947647801367821 0.986565181346493 0.866568920197935 0.778549359176488 0.871670930649115 0.808369716120246 0.842148959673685 0.936937548620606 0.860028062077021 0.898586340322855 1.26951700816654 1.27134254075252 1.23071185346031 1.13537500163203 1.17447698111249
"Assis_2" 0.976989355566153 0.616348256845801 0 1.27888280435727 1.42371561414604 1.08630409660811 1.19752646853638 1.20682897055989 1.25871531104026 1.07285952257684 1.0110210251381 1.23128467409812 0.824702341278274 0.73495723702326 0.802430058948462 0.72351591730715 0.832604261534005 1.05330588727921 0.841795367209527 0.997384456833724 1.4043630088726 1.38478708712411 1.41927018620457 1.2061456965624 1.09004676593114
"Caeiro_1" 1.48792397609388 1.27441616516448 1.27888280435727 0 0.558962148070544 0.93792656418831 0.758382235769123 0.933362941318764 0.958059371065178 1.1266745028374 1.14725826764092 1.10436667300573 1.21976073395421 1.29183833062301 1.18155250859204 1.32932408185215 1.24083438045497 1.10679368258424 1.09243759224212 1.43826562323474 1.02900659793738 1.08050587846889 0.96006031624756 0.941123271807602 0.993056416877687
"Caeiro_2" 1.52677133550889 1.41320829473613 1.42371561414604 0.558962148070544 0 1.01599588586609 0.837967220491302 1.02014219003665 1.10191056307057 1.14473801531959 1.1925676732606 1.27397912188195 1.27174570744605 1.41249287076 1.34538462419538 1.35632736585902 1.32215384602926 1.30831413180512 1.28123565792592 1.53515820216663 1.10330629018722 1.20061494822583 1.01374670221475 1.07964149167167 1.12541131924419
"Campos_1" 1.2171080296256 1.0741525187411 1.08630409660811 0.93792656418831 1.01599588586609 0 0.706246076193918 0.655369964348898 0.724400116307753 1.03723796739666 0.946114028859898 1.01784280495735 1.11139540211678 1.12420075476924 1.02721064973792 1.07031044060527 1.03997089804672 0.992978863630522 0.967242893374265 1.19120189776113 1.15097374737568 1.16052003159503 1.10700103907434 0.954559072594518 1.08221102054449
"Campos_2" 1.36688958386674 1.22718743910663 1.19752646853638 0.758382235769123 0.837967220491302 0.706246076193918 0 0.654130226758514 0.665982379800286 1.02068535086806 0.972154514851409 1.02496159741624 1.20210546225437 1.14711790347117 1.07800786933494 1.30379722157435 1.3184160802834 1.11735651141393 1.10530407510941 1.33277436704027 0.936477104524191 1.00732665731998 0.895872631266705 0.782494392181457 0.947033395137198
"Campos_3" 1.40933662006089 1.18658278735399 1.20682897055989 0.933362941318764 1.02014219003665 0.655369964348898 0.654130226758514 0 0.637587467475332 1.13122802916154 1.01587809496503 1.17904292445908 1.19135271410311 1.2352930951835 1.07413196839381 1.26312270138579 1.2852326112723 1.13635134553093 1.04497676520289 1.40176455481099 1.15744311285388 1.16243149960789 1.05981772292477 0.937136112885632 1.07299210235463
"Campos_4" 1.37519965014629 1.17381600405788 1.25871531104026 0.958059371065178 1.10191056307057 0.724400116307753 0.665982379800286 0.637587467475332 0 1.08899204387197 1.00834009317038 1.03783122489501 1.19778475420505 1.20493402148539 1.10458053119729 1.27300198230267 1.27457809943712 1.10093705850585 1.10859574525406 1.33160213439314 1.09972676752266 1.10619993034368 1.08915433863698 0.992298636247532 0.994130017648646
"Drummond_1" 1.35979274562421 1.02154061331899 1.07285952257684 1.1266745028374 1.14473801531959 1.03723796739666 1.02068535086806 1.13122802916154 1.08899204387197 0 0.538136325225222 1.17578585050451 0.934372624727064 1.14917423886655 1.04445461077276 1.19510075449463 1.1303482438537 1.0997284024164 1.04797417348763 1.09912009647034 1.25155487069915 1.25816749326293 1.18329772583309 1.10003252726383 1.04560754330458
