"Arriaga" "Assis_1" "Assis_2" "Campos" "Drummond_1" "Drummond_2" "Espanca" "Feijó" "Junqueiro_1" "Junqueiro_2" "Leal_1" "Leal_2" "Nobre_1" "Nobre_2" "Pascoaes" "Pessoa_1" "Pessoa_2" "Pessoa_3" "Pessoa_4" "Pessoa_5"
"Arriaga" 0 0.935568454004665 0.948922803256137 1.24767961919138 1.19713670697539 1.20401207113404 1.22447564762967 0.997327060565782 0.859955243481049 0.948929078397115 0.858298067300069 0.949912583880186 1.08248047523788 1.02082793298824 1.00801027360038 1.38896097264455 1.37770042296423 1.32053582307394 1.41666287657655 1.33336890389373
"Assis_1" 0.935568454004665 0 0.712879264356859 1.16097135804052 1.02718818907336 1.04251329843282 1.07443909662358 0.919860555200917 0.869877643882366 0.953512500848542 0.844602718664763 0.918180540573739 0.936666851642609 0.942856275223689 0.972123087465093 1.17591581493657 1.23632194706078 1.1323487453311 1.21991978602173 1.13862111427812
"Assis_2" 0.948922803256137 0.712879264356859 0 1.14950295846841 1.01176955657 1.04690084730248 1.1749930744002 0.90124985925523 0.866691380548613 0.889371819748644 0.803405695160771 0.874954539531709 0.982571919113177 0.908069959842022 0.98709688994315 1.27809354794692 1.27452311813606 1.20563054513606 1.28323726159215 1.21786762753211
"Campos" 1.24767961919138 1.16097135804052 1.14950295846841 0 0.998642879458003 1.00171382201733 1.15182556148408 1.19316872707263 1.12685542463575 1.14976287474828 1.19236361789815 1.20768224974183 1.12719666509026 1.12844598200291 1.28262328662807 1.03525863949032 0.914654220564939 0.873133800044219 0.998869493871277 0.890935365088114
"Drummond_1" 1.19713670697539 1.02718818907336 1.01176955657 0.998642879458003 0 0.683001884113279 1.1491741090497 1.02940721268087 1.10345895989813 1.09617561900087 1.10547499297214 1.09298579735059 1.07625763215693 1.04746453497224 1.09261563844413 1.16019920106502 1.14881555172182 1.07813014885992 1.21360075610496 1.0776070020136
"Drummond_2" 1.20401207113404 1.04251329843282 1.04690084730248 1.00171382201733 0.683001884113279 0 1.17937504119582 1.07296255816764 1.10201777839487 1.1091183200865 1.13825737224026 1.12589503865492 1.13774818813512 1.1052276532779 1.16225906997446 1.15798124200425 1.17167197684622 1.10395180765382 1.22082400490521 1.1146666365056
"Espanca" 1.22447564762967 1.07443909662358 1.1749930744002 1.15182556148408 1.1491741090497 1.17937504119582 0 1.08472322999939 1.18222261924183 1.21349593164982 1.19751447712904 1.1903963802937 1.05408478206322 1.08808404167854 1.09252110701172 1.1372703806141 1.16559446803379 1.07857758232784 1.20421850838273 1.08647584085759
"Feijó" 0.997327060565782 0.919860555200917 0.90124985925523 1.19316872707263 1.02940721268087 1.07296255816764 1.08472322999939 0 0.921024617401681 0.961417931463502 0.937758029651898 0.989305505369494 1.03372230154613 0.979685162871834 0.978040880816385 1.21294027744287 1.20276181708461 1.14668930020556 1.24544596186381 1.15072932905926
"Junqueiro_1" 0.859955243481049 0.869877643882366 0.866691380548613 1.12685542463575 1.10345895989813 1.10201777839487 1.18222261924183 0.921024617401681 0 0.612419532934166 0.782253005660287 0.851359294942315 0.959894116119164 0.851511639102707 1.01343131045238 1.30576155477368 1.279386959889 1.21650101343714 1.29296879093974 1.2353816778496
"Junqueiro_2" 0.948929078397115 0.953512500848542 0.889371819748644 1.14976287474828 1.09617561900087 1.1091183200865 1.21349593164982 0.961417931463502 0.612419532934166 0 0.823153839027911 0.887388494978062 0.971194780085941 0.855792495398791 1.05329923421177 1.327371615503 1.28312635294609 1.2382340583533 1.28555385539063 1.25179959079777
"Leal_1" 0.858298067300069 0.844602718664763 0.803405695160771 1.19236361789815 1.10547499297214 1.13825737224026 1.19751447712904 0.937758029651898 0.782253005660287 0.823153839027911 0 0.615086267536822 0.929865884813872 0.908770044395762 0.999693423749061 1.38761427427315 1.35064266313781 1.31595651181797 1.42057726722461 1.32596512961132
"Leal_2" 0.949912583880186 0.918180540573739 0.874954539531709 1.20768224974183 1.09298579735059 1.12589503865492 1.1903963802937 0.989305505369494 0.851359294942315 0.887388494978062 0.615086267536822 0 0.894181555509502 0.863300188984625 1.03996922022983 1.38257435287475 1.33720731851487 1.29097670388644 1.39058301995003 1.29957795746019
"Nobre_1" 1.08248047523788 0.936666851642609 0.982571919113177 1.12719666509026 1.07625763215693 1.13774818813512 1.05408478206322 1.03372230154613 0.959894116119164 0.971194780085941 0.929865884813872 0.894181555509502 0 0.660238566821126 1.08390866200407 1.28104998222522 1.25427686624227 1.16765893517803 1.24742148147921 1.18601890351927
"Nobre_2" 1.02082793298824 0.942856275223689 0.908069959842022 1.12844598200291 1.04746453497224 1.1052276532779 1.08808404167854 0.979685162871834 0.851511639102707 0.855792495398791 0.908770044395762 0.863300188984625 0.660238566821126 0 1.06571117440122 1.26888463086861 1.20640198921626 1.17715776356301 1.28842476621136 1.19183492575594
"Pascoaes" 1.00801027360038 0.972123087465093 0.98709688994315 1.28262328662807 1.09261563844413 1.16225906997446 1.09252110701172 0.978040880816385 1.01343131045238 1.05329923421177 0.999693423749061 1.03996922022983 1.08390866200407 1.06571117440122 0 1.34229424760663 1.31522395897285 1.26161878715501 1.30379347164386 1.26392536596144
"Pessoa_1" 1.38896097264455 1.17591581493657 1.27809354794692 1.03525863949032 1.16019920106502 1.15798124200425 1.1372703806141 1.21294027744287 1.30576155477368 1.327371615503 1.38761427427315 1.38257435287475 1.28104998222522 1.26888463086861 1.34229424760663 0 0.837395172728668 0.485355818495754 0.802385722936667 0.518463267628445
"Pessoa_2" 1.37770042296423 1.23632194706078 1.27452311813606 0.914654220564939 1.14881555172182 1.17167197684622 1.16559446803379 1.20276181708461 1.279386959889 1.28312635294609 1.35064266313781 1.33720731851487 1.25427686624227 1.20640198921626 1.31522395897285 0.837395172728668 0 0.540308556868069 0.839721031292946 0.569591692511684
