"Caeiro_1" "Caeiro_2" "Campos_1" "Campos_2" "Campos_3" "Pessoa_1" "Pessoa_2" "Pessoa_3" "Pessoa_4" "Reis_1"
"Caeiro_1" 0 0.725925587035135 1.05549195416554 1.1463311651675 1.29613734747088 1.19146433545871 1.1176330362731 1.2624101080448 1.27240028661418 1.39632857821439
"Caeiro_2" 0.725925587035135 0 1.21504593887303 1.31755240426214 1.44841074137943 1.29819863511694 1.24734392755536 1.33169024983431 1.31317142287276 1.58144217428267
"Campos_1" 1.05549195416554 1.21504593887303 0 0.698807891444685 0.752686226767161 1.01304895537325 1.05807605899132 1.22051699380428 1.1640788949428 1.30597649506201
"Campos_2" 1.1463311651675 1.31755240426214 0.698807891444685 0 0.834399577017246 1.11200956665348 1.18506415080583 1.26751781780561 1.13971769027159 1.28135572278882
"Campos_3" 1.29613734747088 1.44841074137943 0.752686226767161 0.834399577017246 0 1.32473242500433 1.31546729794795 1.42495636404953 1.32954324477372 1.3512911611176
"Pessoa_1" 1.19146433545871 1.29819863511694 1.01304895537325 1.11200956665348 1.32473242500433 0 0.605190059972721 0.633209185454803 0.62326990074372 1.25361837728256
"Pessoa_2" 1.1176330362731 1.24734392755536 1.05807605899132 1.18506415080583 1.31546729794795 0.605190059972721 0 0.692133089953606 0.73351645600454 1.24801613169459
"Pessoa_3" 1.2624101080448 1.33169024983431 1.22051699380428 1.26751781780561 1.42495636404953 0.633209185454803 0.692133089953606 0 0.565676196626987 1.35373833563257
"Pessoa_4" 1.27240028661418 1.31317142287276 1.1640788949428 1.13971769027159 1.32954324477372 0.62326990074372 0.73351645600454 0.565676196626987 0 1.30564164960313
"Reis_1" 1.39632857821439 1.58144217428267 1.30597649506201 1.28135572278882 1.3512911611176 1.25361837728256 1.24801613169459 1.35373833563257 1.30564164960313 0
