"Caeiro_1" "Caeiro_2" "Caeiro_3" "Campos_1" "Campos_2" "Campos_3" "Pessoa_1" "Pessoa_2" "Pessoa_3" "Pessoa_4" "Pessoa_5" "Reis_1" "Reis_2"
"quem" 0.261324041811847 0.216535433070866 0.432517448147056 0.265574019273086 0.28460490740176 0.251907298114294 0.704845814977974 0.74958082651149 0.689519306540583 0.633852414116911 0.644760634897441 0.500691745174254 0.544543672402527
"só" 0.605796642382008 0.718503937007874 0.54064681018382 0.28833750663935 0.306966721554756 0.302288757737153 0.469897209985316 0.473419469375678 0.522064617809299 0.508646998982706 0.507771831448976 0.494103695895645 0.515501343207725
"mim" 0.403864428254672 0.46259842519685 0.344047970116976 0.576675013278701 0.489927019170173 0.561393407226141 0.56779246206559 0.690403392839531 0.541765169424744 0.475389310587683 0.467588449104093 0.184465379801041 0.159732810571408
"ou" 0.344472600570162 0.383858267716535 0.422687506143714 0.33386448137188 0.341525888882113 0.237512595364906 0.577581987273617 0.562185619883618 0.571315996847912 0.516472337428594 0.529690040000731 0.56657223796034 0.559064836999927
"nem" 0.475134621476085 0.452755905511811 0.570136636193846 0.394567114348585 0.264275985444492 0.201525838491435 0.420949583945179 0.424104941315712 0.669818754925138 0.491039987479458 0.509598348828289 0.652216878582252 0.60262833079213
"vida" 0.197972758948369 0.236220472440945 0.216258724073528 0.462857576447378 0.455367851842817 0.374262271484094 0.391581008321096 0.355064602031759 0.41371158392435 0.418655606854996 0.442017205793713 0.935502997562422 0.922093951934945
"ao" 0.308837503959455 0.275590551181102 0.373537796127003 0.485621063813643 0.52448618649753 0.431841082481647 0.323054331864905 0.601637242331591 0.384160756501182 0.412786603020581 0.410966410345394 0.500691745174254 0.493719596311624
"nada" 0.277161862527716 0.265748031496063 0.31455814410695 0.341452310493968 0.256144416661584 0.266302000863682 0.558002936857562 0.473419469375678 0.492513790386131 0.504734329759762 0.544302179035233 0.665392977139469 0.638931242285631
"minha" 0.585999366487171 0.570866141732283 0.550476752187162 0.364215797860232 0.443170498668456 0.546998704476753 0.332843857072932 0.503008186211658 0.354609929078014 0.440175287581188 0.4401906884144 0.118584887014955 0.108908734480505
"mais" 0.582039911308204 0.62992125984252 0.511156984173793 0.45526974732529 0.378117948405196 0.215920541240823 0.30347528144885 0.335338790807772 0.147754137115839 0.303231864778152 0.297722332827997 0.751037617761381 0.726058229870036
"há" 0.395945517896737 0.374015748031496 0.363707854123661 0.37180362698232 0.313065398141937 0.259104649488988 0.587371512481645 0.443830752539698 0.502364066193853 0.500821660536818 0.471241483862719 0.158113182686606 0.159732810571408
"alma" 0.154418751979728 0.137795275590551 0.186768898063501 0.220047044540557 0.325262751316298 0.309486109111847 0.518844836025453 0.532596903047638 0.472813238770686 0.537992018154785 0.515077900966228 0.158113182686606 0.181514557467509
"sei" 0.40782388343364 0.452755905511811 0.353877912120318 0.25039836102891 0.219552357138501 0.15834173024327 0.450318159569261 0.345201696419765 0.699369582348306 0.469520306753267 0.476721036000658 0.138349034850781 0.145211645974007
"sou" 0.261324041811847 0.255905511811024 0.235918608080212 0.242810531906821 0.327295643512025 0.1223549733698 0.440528634361233 0.522733997435645 0.492513790386131 0.467563972141795 0.482200588138596 0.0724685420646946 0.0871269875844043
"porque" 0.684985745961356 0.669291338582677 0.658606114223926 0.189695728052204 0.21345368055132 0.201525838491435 0.469897209985316 0.226846829075846 0.285657998423956 0.309100868612567 0.277630641655555 0.197641478358258 0.232338633558411
"dos" 0.292999683243586 0.236220472440945 0.285068318096923 0.349040139616056 0.534650647476164 0.741327191593494 0.117474302496329 0.177532301015879 0.157604412923562 0.181939118866891 0.178998703172661 0.480927597338428 0.450156102519422
"das" 0.336553690212227 0.30511811023622 0.442347390150398 0.500796722057819 0.455367851842817 0.640564272347776 0.146842878120411 0.266298451523819 0.157604412923562 0.191720791924251 0.186304772689912 0.316226365373213 0.348507950337617
"onde" 0.15045929680076 0.177165354330709 0.167109014056817 0.242810531906821 0.258177308857311 0.165539081617965 0.469897209985316 0.424104941315712 0.295508274231678 0.401048595351749 0.405486858207456 0.210817576915475 0.275902127350614
"à" 0.308837503959455 0.354330708661417 0.285068318096923 0.326276652249791 0.308999613750483 0.266302000863682 0.26431718061674 0.216983923463852 0.285657998423956 0.268017841771657 0.28676322855212 0.408459055273733 0.384810861831119
"nos" 0.24152676591701 0.285433070866142 0.157279072053475 0.16693224068594 0.215486572747047 0.302288757737153 0.176211453744493 0.167669395403886 0.0689519306540583 0.179982784255419 0.189957807448538 1.10020422952764 1.13991142089596
"ter" 0.368229331643966 0.482283464566929 0.245748550083555 0.174520069808028 0.227683925921408 0.179933784367353 0.401370533529124 0.276161357135812 0.344759653270292 0.35214023006495 0.343385267310818 0.118584887014955 0.0871269875844043
"quando" 0.455337345581248 0.442913385826772 0.383367738130345 0.242810531906821 0.172795836636783 0.151144378868576 0.22515907978463 0.256435545911826 0.305358550039401 0.238672822599577 0.231967707172734 0.230581724751301 0.268641545051913
"te" 0.201932214127336 0.324803149606299 0.196598840066844 0.25039836102891 0.209387896159867 0.0935655678710235 0.215369554576603 0.108491961731926 0.334909377462569 0.273886845606072 0.272151089517617 0.415047104552342 0.442895520220722
"são" 0.39198606271777 0.334645669291339 0.422687506143714 0.174520069808028 0.231749710312862 0.143947027493882 0.22515907978463 0.384653318867738 0.128053585500394 0.217153141873386 0.222835120276169 0.23716977402991 0.225078051259711
"coisa" 0.574121000950269 0.639763779527559 0.658606114223926 0.280749677517262 0.215486572747047 0.201525838491435 0.146842878120411 0.216983923463852 0.157604412923562 0.168244776586587 0.164386564138158 0.065880492786086 0.0580846583896028
"noite" 0.213810579664238 0.246062992125984 0.176938956060159 0.204871386296381 0.176861621028237 0.100762919245718 0.323054331864905 0.404379130091725 0.344759653270292 0.295406526332264 0.301375367586623 0.111996837736346 0.101648152181805
"tenho" 0.261324041811847 0.275590551181102 0.31455814410695 0.394567114348585 0.24597995568295 0.136749676119188 0.176211453744493 0.226846829075846 0.285657998423956 0.236716487988105 0.231967707172734 0.032940246393043 0.0290423291948014
"já" 0.146499841621793 0.137795275590551 0.176938956060159 0.159344411563852 0.121973531743612 0.0863682164963294 0.323054331864905 0.295887168359799 0.285657998423956 0.318882541669927 0.305028402345248 0.177877330522432 0.174253975168809
"dia" 0.158378207158695 0.127952755905512 0.186768898063501 0.151756582441763 0.1362037771137 0.107960270620412 0.244738130200685 0.315612979583785 0.197005516154452 0.240629157211049 0.264845020000365 0.349166611766256 0.384810861831119
"todos" 0.162337662337662 0.147637795275591 0.22608866607687 0.675316791865847 0.487894126974447 0.439038433856341 0.0391581008321096 0.0591774336719598 0.0985027580772262 0.0939040613506534 0.104111490620833 0.0395282956716516 0.0363029114935018
"mundo" 0.269242952169781 0.285433070866142 0.147449130050133 0.227634873662645 0.170762944441056 0.165539081617965 0.283896231032795 0.197258112239866 0.22655634357762 0.203458799593082 0.213702533379605 0.158113182686606 0.159732810571408
"tem" 0.296959138422553 0.295275590551181 0.324388086110292 0.121405265953411 0.119940639547885 0.100762919245718 0.215369554576603 0.177532301015879 0.374310480693459 0.232803818765162 0.246579846207237 0.105408788457738 0.0943875698831046
"coração" 0.0118783655369021 0.00984251968503937 0.0196598840066844 0.204871386296381 0.166697160049603 0.0791708651216352 0.352422907488987 0.463556563763685 0.285657998423956 0.311057203224039 0.310507954483187 0.0461163449502602 0.0508240760909025
"sol" 0.376148242001901 0.285433070866142 0.520986926177136 0.0986417785871462 0.105710394177797 0.129552324744494 0.137053352912384 0.236709734687839 0.137903861308117 0.178026449643947 0.180825220551974 0.217405626194084 0.20329630436361
"quero" 0.209851124485271 0.246062992125984 0.147449130050133 0.113817436831323 0.138236669309427 0.0863682164963294 0.274106705824767 0.187395206627873 0.18715524034673 0.21128413803897 0.231967707172734 0.256933921865736 0.246859798155812
"nunca" 0.360310421286031 0.423228346456693 0.334218028113634 0.174520069808028 0.14230245370088 0.151144378868576 0.274106705824767 0.11835486734392 0.108353033884949 0.174113780421003 0.171692633655409 0.144937084129389 0.145211645974007
"coisas" 0.487012987012987 0.452755905511811 0.668436056227268 0.265574019273086 0.191091866398325 0.194328487116741 0.0391581008321096 0.0986290561199329 0.0985027580772262 0.0802097190703498 0.0694076604138888 0.171289281243824 0.181514557467509
"sempre" 0.194013303769401 0.196850393700787 0.167109014056817 0.341452310493968 0.221585249334228 0.179933784367353 0.137053352912384 0.246572640299832 0.147754137115839 0.144768761248924 0.153427459862281 0.210817576915475 0.217817468961011
"eh" 0 0 0 0.0227634873662645 0.518387509910349 1.79933784367353 0 0 0.0197005516154452 0.00391266922294389 0.00365303475862573 0 0
"entre" 0.0554323725055432 0.078740157480315 0.0294898260100265 0.113817436831323 0.107743286373524 0.0935655678710235 0.342633382280959 0.394516224479732 0.334909377462569 0.268017841771657 0.246579846207237 0.0461163449502602 0.0508240760909025
"assim" 0.249445676274945 0.30511811023622 0.265408434090239 0.113817436831323 0.0975788253948893 0.107960270620412 0.186000978952521 0.207121017851859 0.128053585500394 0.179982784255419 0.175345668414035 0.164701231965215 0.137951063675307
"sonho" 0.0277161862527716 0.0393700787401575 0.0393197680133687 0.0834661203429699 0.0630196580675327 0.0503814596228588 0.195790504160548 0.325475885195779 0.22655634357762 0.285624853274904 0.305028402345248 0.032940246393043 0.0363029114935018
"mesmo" 0.170256572695597 0.15748031496063 0.167109014056817 0.197283557174292 0.205322111768413 0.136749676119188 0.137053352912384 0.177532301015879 0.108353033884949 0.115423742076845 0.113244077517398 0.250345872587127 0.246859798155812
"meus" 0.233607855559075 0.216535433070866 0.22608866607687 0.265574019273086 0.195157650789779 0.172736432992659 0.0685266764561919 0.167669395403886 0.0985027580772262 0.125205415134205 0.136988803448465 0.0988207391791291 0.0798664052857039
"isto" 0.277161862527716 0.285433070866142 0.255578492086897 0.212459215418469 0.203289219572686 0.287894054987764 0.0881057268722467 0.11835486734392 0.128053585500394 0.115423742076845 0.107764525379459 0.0395282956716516 0.0435634937922021
"bem" 0.106905289832119 0.127952755905512 0.137619188046791 0.045526974732529 0.0975788253948893 0.0719735137469411 0.195790504160548 0.11835486734392 0.364460204885737 0.209327803427498 0.200916911724415 0.111996837736346 0.116169316779206
"está" 0.237567310738042 0.275590551181102 0.216258724073528 0.0607026329767054 0.10977617856925 0.0791708651216352 0.176211453744493 0.167669395403886 0.137903861308117 0.166288441975115 0.171692633655409 0.0527043942288688 0.0653452406883032
"qualquer" 0.194013303769401 0.226377952755905 0.137619188046791 0.159344411563852 0.146368238092334 0.107960270620412 0.0978952520802741 0.138080678567906 0.236406619385343 0.164332107363643 0.164386564138158 0.0263521971144344 0.0217817468961011
"estou" 0.142540386442825 0.196850393700787 0.137619188046791 0.144168753319675 0.187026082006871 0.165539081617965 0.176211453744493 0.157806489791893 0.108353033884949 0.152594099694812 0.164386564138158 0.0131760985572172 0.0145211645974007
"isso" 0.261324041811847 0.196850393700787 0.304728202103608 0.182107898930116 0.191091866398325 0.201525838491435 0.0978952520802741 0.0493145280599665 0.147754137115839 0.105642069019485 0.111417560138085 0.0395282956716516 0.0363029114935018
"tão" 0.0910674691162496 0.0885826771653543 0.0982994200334218 0.106229607709234 0.148401130288061 0.208723189866129 0.156632403328439 0.108491961731926 0.157604412923562 0.174113780421003 0.160733529379532 0.125172936293563 0.130690481376606
"ver" 0.273202407348749 0.285433070866142 0.393197680133687 0.0682904620987935 0.0630196580675327 0.0719735137469411 0.166421928536466 0.177532301015879 0.206855791962175 0.148681430471868 0.133335768689839 0.0724685420646946 0.0726058229870036
"deus" 0.110864745011086 0.078740157480315 0.117959304040106 0.189695728052204 0.189058974202598 0.136749676119188 0.205580029368576 0.0887661505079396 0.167454688731284 0.115423742076845 0.113244077517398 0.197641478358258 0.166993392870108
"todas" 0.146499841621793 0.15748031496063 0.147449130050133 0.364215797860232 0.333394320099205 0.266302000863682 0.00978952520802741 0.069040339283953 0.0591016548463357 0.074340715235934 0.0511424866207602 0.0131760985572172 0.00726058229870036
"sinto" 0.197972758948369 0.187007874015748 0.186768898063501 0.0986417785871462 0.0691183346547133 0.0935655678710235 0.127263827704356 0.197258112239866 0.256107171000788 0.1604194381407 0.157080494620906 0.0922326899005205 0.0653452406883032
"ó" 0 0 0 0.151756582441763 0.268341769835946 0.654958975097164 0.0587371512481645 0.069040339283953 0.0985027580772262 0.103685734408013 0.120550147034649 0.0395282956716516 0.0435634937922021
"ah" 0.0435540069686411 0.0295275590551181 0.0393197680133687 0.0834661203429699 0.17482872883251 0.287894054987764 0.195790504160548 0.147943584179899 0.128053585500394 0.168244776586587 0.155253977241593 0.0461163449502602 0.0580846583896028
"sobre" 0.122743110547989 0.127952755905512 0.108129362036764 0.0986417785871462 0.172795836636783 0.230315243990212 0.0881057268722467 0.157806489791893 0.128053585500394 0.121292745911261 0.122376664413962 0.125172936293563 0.130690481376606
"pensar" 0.312796959138423 0.275590551181102 0.285068318096923 0.0834661203429699 0.0935130410034356 0.064776162372247 0.176211453744493 0.0493145280599665 0.147754137115839 0.13107441896862 0.129682733931213 0.032940246393043 0.0290423291948014
"vento" 0.110864745011086 0.127952755905512 0.147449130050133 0.0227634873662645 0.014230245370088 0.0215920541240823 0.26431718061674 0.187395206627873 0.22655634357762 0.191720791924251 0.206396463862354 0.0922326899005205 0.123429899077906
"céu" 0.0989863794741844 0.0590551181102362 0.108129362036764 0.0227634873662645 0.0325262751316298 0.0143947027493882 0.26431718061674 0.236709734687839 0.197005516154452 0.22106581109633 0.233794224552047 0.0131760985572172 0.0145211645974007
"nós" 0.134621476084891 0.118110236220472 0.167109014056817 0.0607026329767054 0.0772499034376207 0.100762919245718 0.117474302496329 0.0493145280599665 0.157604412923562 0.0997730651850693 0.100458455862208 0.37551880888069 0.421113773324621
"olhos" 0.237567310738042 0.246062992125984 0.157279072053475 0.106229607709234 0.115874855156431 0.129552324744494 0.0489476260401371 0.108491961731926 0.0886524822695035 0.103685734408013 0.0949789037242689 0.19105342907965 0.181514557467509
"quanto" 0.0514729173265759 0.0393700787401575 0.0491497100167109 0.0531148038546172 0.0914801488077087 0.0287894054987765 0.195790504160548 0.197258112239866 0.137903861308117 0.1604194381407 0.162560046758845 0.256933921865736 0.21055688666231
"seu" 0.0910674691162496 0.0984251968503937 0.0688095940233953 0.045526974732529 0.0609867658718058 0.115157621995106 0.176211453744493 0.069040339283953 0.157604412923562 0.146725095860396 0.140641838207091 0.276698069701561 0.297683874246715
"sentir" 0.118783655369021 0.108267716535433 0.157279072053475 0.16693224068594 0.10367750198207 0.0719735137469411 0.205580029368576 0.177532301015879 0.167454688731284 0.144768761248924 0.158907012000219 0.032940246393043 0.0290423291948014
"era" 0.0831485587583149 0.0393700787401575 0.0393197680133687 0.136580924197587 0.156532699070968 0.201525838491435 0.22515907978463 0.108491961731926 0.216706067769898 0.152594099694812 0.140641838207091 0 0
"ela" 0.277161862527716 0.295275590551181 0.275238376093581 0.0834661203429699 0.0853814722205282 0.0719735137469411 0.0685266764561919 0.147943584179899 0.0985027580772262 0.0978167305735973 0.100458455862208 0.0922326899005205 0.130690481376606
"deuses" 0.0593918276845106 0.0688976377952756 0.0589796520200531 0.0227634873662645 0.0386249517188103 0.0359867568734706 0.0293685756240822 0.0394516224479732 0.00985027580772262 0.0195633461147195 0.0219182085517544 0.94209104684103 0.936615116532346
"dentro" 0.134621476084891 0.118110236220472 0.137619188046791 0.197283557174292 0.203289219572686 0.266302000863682 0.0293685756240822 0.138080678567906 0.108353033884949 0.0860787229047656 0.080366764689766 0.0461163449502602 0.0508240760909025
"vejo" 0.237567310738042 0.324803149606299 0.137619188046791 0.0834661203429699 0.0569209814803521 0.0431841082481647 0.127263827704356 0.147943584179899 0.18715524034673 0.134987088191564 0.135162286069152 0.032940246393043 0.0290423291948014
"foi" 0.0554323725055432 0.0492125984251969 0.0491497100167109 0.0986417785871462 0.0853814722205282 0.0791708651216352 0.146842878120411 0.167669395403886 0.236406619385343 0.176070115032475 0.173519151034722 0.0592924435074774 0.0653452406883032
"outra" 0.190053848590434 0.226377952755905 0.157279072053475 0.242810531906821 0.172795836636783 0.215920541240823 0.0293685756240822 0.128217772955913 0.0985027580772262 0.0704280460129901 0.0712341777932017 0.0527043942288688 0.0435634937922021
"mar" 0.0158378207158695 0.00984251968503937 0.0294898260100265 0.0531148038546172 0.115874855156431 0.266302000863682 0.156632403328439 0.197258112239866 0.137903861308117 0.144768761248924 0.142468355586403 0.0922326899005205 0.116169316779206
"hora" 0.0277161862527716 0.0196850393700787 0.0491497100167109 0.0607026329767054 0.0975788253948893 0.100762919245718 0.0489476260401371 0.197258112239866 0.0886524822695035 0.174113780421003 0.151600942482968 0.164701231965215 0.181514557467509
"aqui" 0.0910674691162496 0.0984251968503937 0.0688095940233953 0.182107898930116 0.105710394177797 0.0431841082481647 0.0978952520802741 0.0887661505079396 0.128053585500394 0.119336411299789 0.135162286069152 0.164701231965215 0.181514557467509
"outro" 0.0475134621476085 0.0492125984251969 0.0196598840066844 0.0758782912208817 0.0813156878290744 0.107960270620412 0.195790504160548 0.128217772955913 0.216706067769898 0.15063776508334 0.147947907724342 0.138349034850781 0.152472228272707
"fui" 0.0712701932214127 0.0885826771653543 0.0884694780300796 0.128993095075499 0.0975788253948893 0.0863682164963294 0.195790504160548 0.177532301015879 0.147754137115839 0.142812426637452 0.144294872965716 0.0527043942288688 0.0580846583896028
"teu" 0.0237567310738042 0.0393700787401575 0.0294898260100265 0.0151756582441763 0.0833485800248013 0.0287894054987765 0.0685266764561919 0.108491961731926 0.157604412923562 0.207371468816026 0.171692633655409 0.131760985572172 0.130690481376606
"grande" 0.114824200190054 0.108267716535433 0.137619188046791 0.0758782912208817 0.211420788355593 0.187131135742047 0.0881057268722467 0.128217772955913 0.0689519306540583 0.0958603959621254 0.0913258689656432 0.0263521971144344 0.0363029114935018
"amor" 0.0277161862527716 0.0590551181102362 0.0688095940233953 0.0607026329767054 0.0508223048931715 0.0359867568734706 0.205580029368576 0.138080678567906 0.0985027580772262 0.156506768917756 0.166213081517471 0.197641478358258 0.181514557467509
"faz" 0.0752296484003801 0.078740157480315 0.108129362036764 0.0758782912208817 0.0691183346547133 0.0719735137469411 0.176211453744493 0.11835486734392 0.265957446808511 0.156506768917756 0.155253977241593 0.0592924435074774 0.0435634937922021
"toda" 0.126702565726956 0.0984251968503937 0.147449130050133 0.16693224068594 0.17482872883251 0.165539081617965 0.0195790504160548 0.147943584179899 0.0985027580772262 0.0958603959621254 0.10228497324152 0.0197641478358258 0.0363029114935018
"até" 0.0554323725055432 0.0590551181102362 0.0589796520200531 0.151756582441763 0.130105100526519 0.115157621995106 0.137053352912384 0.0887661505079396 0.128053585500394 0.127161749745677 0.126029699172588 0.0922326899005205 0.101648152181805
"lá" 0.106905289832119 0.078740157480315 0.137619188046791 0.159344411563852 0.195157650789779 0.295091406362459 0.0489476260401371 0.108491961731926 0.0689519306540583 0.072384380624462 0.0639281082759502 0.032940246393043 0.0508240760909025
"passa" 0.095026924295217 0.0295275590551181 0.167109014056817 0.0379391456104409 0.0528551970888984 0.107960270620412 0.117474302496329 0.177532301015879 0.108353033884949 0.105642069019485 0.111417560138085 0.23716977402991 0.225078051259711
"nas" 0.142540386442825 0.137795275590551 0.117959304040106 0.0986417785871462 0.121973531743612 0.201525838491435 0.0293685756240822 0.0591774336719598 0.0886524822695035 0.0939040613506534 0.0894993515863304 0.0988207391791291 0.116169316779206
"hoje" 0.0673107380424454 0.0984251968503937 0.0589796520200531 0.151756582441763 0.132137992722246 0.100762919245718 0.137053352912384 0.187395206627873 0.0591016548463357 0.117380076688317 0.109591042758772 0.0395282956716516 0.0726058229870036
"flores" 0.336553690212227 0.226377952755905 0.471837216160425 0.0379391456104409 0.0162631375658149 0 0.0685266764561919 0.0295887168359799 0.00985027580772262 0.0567337037326864 0.0694076604138888 0.230581724751301 0.174253975168809
"corpo" 0.190053848590434 0.206692913385827 0.157279072053475 0.0682904620987935 0.113841962960704 0.100762919245718 0.0783162016642193 0.0591774336719598 0.177304964539007 0.0841223882932937 0.0840197994483917 0.0592924435074774 0.0798664052857039
"estrada" 0.205891669306303 0.177165354330709 0.0982994200334218 0.0607026329767054 0.0548880892846252 0 0.0783162016642193 0.147943584179899 0.147754137115839 0.138899757414508 0.138815320827778 0.0197641478358258 0.0145211645974007
"estar" 0.190053848590434 0.236220472440945 0.137619188046791 0.174520069808028 0.119940639547885 0.0575788109975529 0.146842878120411 0.11835486734392 0.0492513790386131 0.0860787229047656 0.0876728342070175 0.0131760985572172 0.00726058229870036
"fora" 0.138580931263858 0.147637795275591 0.137619188046791 0.106229607709234 0.107743286373524 0.107960270620412 0.137053352912384 0.0986290561199329 0.108353033884949 0.0978167305735973 0.0931523863449561 0.0724685420646946 0.0726058229870036
"fim" 0.0118783655369021 0.00984251968503937 0.00982994200334218 0.0682904620987935 0.0792827956333476 0.064776162372247 0.166421928536466 0.197258112239866 0.216706067769898 0.15063776508334 0.147947907724342 0.065880492786086 0.0798664052857039
"ele" 0.269242952169781 0.177165354330709 0.176938956060159 0.113817436831323 0.119940639547885 0.100762919245718 0.0587371512481645 0.0394516224479732 0.0689519306540583 0.0547773691212145 0.0547955213793859 0.0988207391791291 0.116169316779206
