"Ajar_GrosCalin.1974" "Ajar_LangoisseDuRoiSalomon.1979" "Ajar_LaVieDevantSoi.1975" "Ajar_Pseudo.1976" "Bogat_LesTêtesDeStphanie.1974" "Gary_Au-DelàDeCetteLimite.1975" "Gary_LaPromesseDlAube.1960" "Gary_LeGrandVestiaire.1949" "Gary_LesClownsLyriques.1979" "Gary_LesEnchanteurs.1973" "Gary_LesRacinesDuCiel.1956" "Sinibaldi_LHommeLaColombe.1958"
"Ajar_GrosCalin.1974" 0 1.05743390886501 1.1757405060567 0.856669870457938 1.17902865027634 1.01003275520131 1.11162772126081 1.10421197949509 1.06542207964399 1.25092305191876 1.0966481388818 1.30394218544929
"Ajar_LangoisseDuRoiSalomon.1979" 1.05743390886501 0 0.878477028655072 1.01486729713487 1.33778173192148 0.999731447037822 1.27265736475619 1.13803165612156 1.12400278540261 1.40535293429555 1.22194750722362 1.44418224999589
"Ajar_LaVieDevantSoi.1975" 1.1757405060567 0.878477028655072 0 1.1588316306396 1.49520508494132 1.29810728064694 1.40375964487057 1.33351975195528 1.33114451698266 1.53235746166483 1.43818016468718 1.65420149869013
"Ajar_Pseudo.1976" 0.856669870457938 1.01486729713487 1.1588316306396 0 1.1836071911144 0.927113214720631 1.09800129120646 1.11530345675816 1.06152821550731 1.16399579377133 1.100462019434 1.24334241640178
"Bogat_LesTêtesDeStphanie.1974" 1.17902865027634 1.33778173192148 1.49520508494132 1.1836071911144 0 1.03125836938826 0.969253693787144 0.962215737581587 0.85744795765139 0.922701245176089 0.846944122150275 1.00851748109685
"Gary_Au-DelàDeCetteLimite.1975" 1.01003275520131 0.999731447037822 1.29810728064694 0.927113214720631 1.03125836938826 0 0.9488263700445 0.976742449713989 0.918532111526227 1.08490817287599 1.01989193314688 1.27533677916898
"Gary_LaPromesseDlAube.1960" 1.11162772126081 1.27265736475619 1.40375964487057 1.09800129120646 0.969253693787144 0.9488263700445 0 0.984199144134646 0.955596694036041 0.833219719177259 0.901342360601391 1.11341642844639
"Gary_LeGrandVestiaire.1949" 1.10421197949509 1.13803165612156 1.33351975195528 1.11530345675816 0.962215737581587 0.976742449713989 0.984199144134646 0 0.922971779643049 1.12946503353536 0.997965562983066 1.12977209027716
"Gary_LesClownsLyriques.1979" 1.06542207964399 1.12400278540261 1.33114451698266 1.06152821550731 0.85744795765139 0.918532111526227 0.955596694036041 0.922971779643049 0 1.00327469614016 0.774284066324042 1.06475808432835
"Gary_LesEnchanteurs.1973" 1.25092305191876 1.40535293429555 1.53235746166483 1.16399579377133 0.922701245176089 1.08490817287599 0.833219719177259 1.12946503353536 1.00327469614016 0 0.957256813382239 1.10624367993181
"Gary_LesRacinesDuCiel.1956" 1.0966481388818 1.22194750722362 1.43818016468718 1.100462019434 0.846944122150275 1.01989193314688 0.901342360601391 0.997965562983066 0.774284066324042 0.957256813382239 0 1.08137543775104
"Sinibaldi_LHommeLaColombe.1958" 1.30394218544929 1.44418224999589 1.65420149869013 1.24334241640178 1.00851748109685 1.27533677916898 1.11341642844639 1.12977209027716 1.06475808432835 1.10624367993181 1.08137543775104 0
