"Arriaga" "Assis_1" "Assis_2" "Caeiro" "Drummond_1" "Drummond_2" "Espanca" "Feijó" "Junqueiro_1" "Junqueiro_2" "Leal_1" "Leal_2" "Nobre_1" "Nobre_2" "Pascoaes" "Pessoa_1" "Pessoa_2" "Pessoa_3" "Pessoa_4" "Pessoa_5"
"Arriaga" 0 0.916415197996129 0.919326917223335 1.47421016243647 1.14554440668855 1.15231971729643 1.21893092803417 0.994332388793549 0.850065894187105 0.936876765595603 0.84604307997864 0.943421101500914 1.07007137970668 1.00365321680298 0.995578359481184 1.31978223447606 1.34225055145399 1.28389276914369 1.36358976032044 1.28869302837109
"Assis_1" 0.916415197996129 0 0.691083510002007 1.35898406102891 0.977089306442361 0.999661194241846 1.06606808890821 0.915203830949654 0.850327837833212 0.940523370394466 0.835266271372052 0.908827325677801 0.914469254436193 0.927509605399159 0.958694743892723 1.13555859780781 1.2407806840544 1.0936018158034 1.16757536385787 1.0953723932741
"Assis_2" 0.919326917223335 0.691083510002007 0 1.29475063132299 0.956723655560337 0.999834752236287 1.16861477368232 0.896190484373481 0.83895191184605 0.871484960100126 0.78471826967987 0.854310023942274 0.95811849343782 0.885454378348283 0.965730932517731 1.22131312604223 1.29289171895969 1.15979246029823 1.22481209769495 1.16291090622038
"Caeiro" 1.47421016243647 1.35898406102891 1.29475063132299 0 1.16879171089387 1.1955163676457 1.39589199700318 1.35913716674805 1.3506202881262 1.3510797047129 1.41717664270657 1.3966796546542 1.38407527339975 1.28882770219744 1.45535120257518 1.17060253494286 1.14185324070694 1.09382248979786 1.19436917966671 1.10342696505577
"Drummond_1" 1.14554440668855 0.977089306442361 0.956723655560337 1.16879171089387 0 0.65982827082638 1.12148999626032 0.999298251265273 1.0538088538364 1.04969398306124 1.06571336186881 1.06406114890552 1.05435770128622 1.01158693255747 1.05075174390125 1.10718200153629 1.15548861804534 1.03486039834318 1.15004240190065 1.04708468875056
"Drummond_2" 1.15231971729643 0.999661194241846 0.999834752236287 1.1955163676457 0.65982827082638 0 1.1509887294422 1.04709438878243 1.05682589726375 1.0593243280413 1.09405352005517 1.09172945373629 1.10125741553488 1.06642564799135 1.11724713344229 1.13976718544564 1.16037716798922 1.06186097527672 1.21927286031124 1.07203411047662
"Espanca" 1.21893092803417 1.06606808890821 1.16861477368232 1.39589199700318 1.12148999626032 1.1509887294422 0 1.09765197564828 1.17460333306808 1.21657548477197 1.20453877999971 1.18664263916427 1.0483396804538 1.07707306379313 1.09193810414825 1.14194773026654 1.11519255193145 1.06239217407107 1.20116745402877 1.06437133702553
"Feijó" 0.994332388793549 0.915203830949654 0.896190484373481 1.35913716674805 0.999298251265273 1.04709438878243 1.09765197564828 0 0.922615605048626 0.975135933557949 0.939626440319064 0.995169684179143 1.01155217376014 0.963235279433285 0.97344737210695 1.14806040262826 1.20933668437016 1.11317206806681 1.22976242221642 1.11645456716435
"Junqueiro_1" 0.850065894187105 0.850327837833212 0.83895191184605 1.3506202881262 1.0538088538364 1.05682589726375 1.17460333306808 0.922615605048626 0 0.600050260369522 0.777010884671032 0.834120526094926 0.941758217796448 0.835329182834768 1.00388388910383 1.24065437315491 1.29883846492899 1.20404473908811 1.27351728028363 1.19923826404807
"Junqueiro_2" 0.936876765595603 0.940523370394466 0.871484960100126 1.3510797047129 1.04969398306124 1.0593243280413 1.21657548477197 0.975135933557949 0.600050260369522 0 0.816008039940908 0.880144117083238 0.950958758166573 0.843580120580739 1.03968254697166 1.24116454787314 1.30260338928553 1.20939692107565 1.28230500068235 1.21018000143996
"Leal_1" 0.84604307997864 0.835266271372052 0.78471826967987 1.41717664270657 1.06571336186881 1.09405352005517 1.20453877999971 0.939626440319064 0.777010884671032 0.816008039940908 0 0.608781611505192 0.917371139734252 0.893823560048216 0.98322802702721 1.30591760857273 1.39391654985331 1.28391729018049 1.36656079876392 1.28072355151323
"Leal_2" 0.943421101500914 0.908827325677801 0.854310023942274 1.3966796546542 1.06406114890552 1.09172945373629 1.18664263916427 0.995169684179143 0.834120526094926 0.880144117083238 0.608781611505192 0 0.884515311427515 0.852607984407335 1.02027139042539 1.30353189127824 1.36714165592232 1.25746483728948 1.36197263401733 1.26276823988208
"Nobre_1" 1.07007137970668 0.914469254436193 0.95811849343782 1.38407527339975 1.05435770128622 1.10125741553488 1.0483396804538 1.01155217376014 0.941758217796448 0.950958758166573 0.917371139734252 0.884515311427515 0 0.63098115121882 1.06443062225767 1.22954084201211 1.23855970593853 1.12452354434538 1.24798839985851 1.13803119034475
