"Arriaga" "Assis_1" "Assis_2" "Caeiro" "Drummond_1" "Drummond_2" "Espanca" "Feijó" "Junqueiro_1" "Junqueiro_2" "Leal_1" "Leal_2" "Nobre_1" "Nobre_2" "Pascoaes" "Pessoa_1" "Pessoa_2" "Pessoa_3" "Pessoa_4"
"Arriaga" 0 0.94100576194997 1.05121877776539 1.50202082416017 1.42628580307434 1.36982752786945 1.27156146162654 1.16876715459225 0.986418410894978 1.16238572697137 1.02028355342289 1.05607845884718 1.22628926999042 1.05882445573812 1.05012511076883 1.60130841373628 1.43012595082631 1.53356180162161 1.58679919074583
"Assis_1" 0.94100576194997 0 0.646988975204136 1.32546022286752 1.05357274165167 0.980469080513417 1.00057083316545 0.913434181935574 0.844639772718745 0.921929461119815 0.841242986367315 0.912889627357406 0.96790330790785 0.908620293706742 0.957020283534578 1.21963490342262 1.06373625857923 1.2142308480574 1.30523342826373
"Assis_2" 1.05121877776539 0.646988975204136 0 1.31224393844749 1.10888177637742 1.06987033501373 1.24725809494474 0.835694837110726 0.787494786058288 0.848380008420058 0.768436183606528 0.880001549573822 1.07101303824101 0.866604842011285 1.05574247736162 1.37899508713495 1.18162616654288 1.30404043255878 1.38804695633897
"Caeiro" 1.50202082416017 1.32546022286752 1.31224393844749 0 1.13758349739332 1.13687730358282 1.15128290200327 1.22397716737831 1.32623498849275 1.24265174134977 1.35580018791684 1.277758985031 1.15289174205352 1.145052301459 1.45718838789591 1.08420680452712 0.903748350693452 1.05694428925945 1.03075162363149
"Drummond_1" 1.42628580307434 1.05357274165167 1.10888177637742 1.13758349739332 0 0.567032050474666 1.18060337732422 0.957638266916105 1.17249790280297 1.06408328081386 1.22615761519286 1.18600766785767 1.11136546549594 1.06018544479684 1.12347615715011 1.1859109628456 1.10542827245498 1.20501551000098 1.27039679058523
"Drummond_2" 1.36982752786945 0.980469080513417 1.06987033501373 1.13687730358282 0.567032050474666 0 1.14437865103697 1.00360129835305 1.11640004326762 1.01345838873883 1.14283648621623 1.15446447927358 1.0903609798318 1.1050422599632 1.18104079727375 1.14554632978304 1.00135191316955 1.1043625509338 1.26415222355349
"Espanca" 1.27156146162654 1.00057083316545 1.24725809494474 1.15128290200327 1.18060337732422 1.14437865103697 0 1.21639251796499 1.34358870547286 1.32539757819167 1.30094924779569 1.22119267060652 0.9901061427446 1.13391185318194 0.979057194762195 1.17127355334084 0.9736469186299 1.17394192618716 1.17030060237881
"Feijó" 1.16876715459225 0.913434181935574 0.835694837110726 1.22397716737831 0.957638266916105 1.00360129835305 1.21639251796499 0 0.978952507824699 0.98774455286795 0.929311793211625 1.00790073552087 1.09169265903644 1.01576712203201 1.04358750413297 1.28394278090242 1.12742317700461 1.25755538294503 1.26965347796005
"Junqueiro_1" 0.986418410894978 0.844639772718745 0.787494786058288 1.32623498849275 1.17249790280297 1.11640004326762 1.34358870547286 0.978952507824699 0 0.599981419064808 0.837444317176155 0.962692956927314 1.15514682803457 0.896343393158977 1.17888949170616 1.47673540772639 1.26796329542607 1.38733653607011 1.44095133552488
"Junqueiro_2" 1.16238572697137 0.921929461119815 0.848380008420058 1.24265174134977 1.06408328081386 1.01345838873883 1.32539757819167 0.98774455286795 0.599981419064808 0 0.85697016241214 0.915886406011047 1.09119232276869 0.837688753345292 1.21220633789195 1.37091014234387 1.12153396363963 1.30212516245391 1.33625122133805
"Leal_1" 1.02028355342289 0.841242986367315 0.768436183606528 1.35580018791684 1.22615761519286 1.14283648621623 1.30094924779569 0.929311793211625 0.837444317176155 0.85697016241214 0 0.596667086408137 1.0286271343747 0.93667742734878 1.06064037556502 1.49057517128355 1.31172226769507 1.42834381170233 1.49192188901621
"Leal_2" 1.05607845884718 0.912889627357406 0.880001549573822 1.277758985031 1.18600766785767 1.15446447927358 1.22119267060652 1.00790073552087 0.962692956927314 0.915886406011047 0.596667086408137 0 0.896255895756143 0.795666334533982 1.09122387536319 1.413415683097 1.29934244273124 1.34143015914178 1.38101625752903
