"Arriaga" "Assis_1" "Assis_2" "Caeiro" "Drummond_1" "Drummond_2" "Espanca" "Feijó" "Junqueiro_1" "Junqueiro_2" "Leal_1" "Leal_2" "Nobre_1" "Nobre_2" "Pascoaes" "Pessoa_1" "Pessoa_2" "Pessoa_3" "Pessoa_4"
"Arriaga" 0 0.918685500567849 1.00274139680821 1.47841087029664 1.39635891119492 1.358974973414 1.27417000443278 1.12674837684173 0.942241747286643 1.09809793513994 0.965791591622274 1.01243676001643 1.20020057730697 1.03455924038595 1.04260482998644 1.5131650202563 1.41908100189417 1.57414186208051 1.56018836621752
"Assis_1" 0.918685500567849 0 0.649678142673739 1.2942765264074 1.0559952673425 0.976782315969917 1.01195652930992 0.92253379790068 0.848751239527717 0.927928716431851 0.86356703481045 0.922271060293014 0.969926472126785 0.896613920119244 0.952530392388946 1.23138213864415 1.1057219089361 1.21852346814855 1.21782770115577
"Assis_2" 1.00274139680821 0.649678142673739 0 1.29071463051948 1.09841711581247 1.04497597716761 1.23870158253999 0.847790334841145 0.787854918005461 0.855273820961408 0.765237995821507 0.882932548075056 1.05669492197818 0.857848554082043 1.02621523788629 1.37338677524429 1.19887218414266 1.38695453914008 1.40459021934121
"Caeiro" 1.47841087029664 1.2942765264074 1.29071463051948 0 1.12764934020659 1.13262811010663 1.13601157159897 1.22113438211651 1.31232715160777 1.21972691419099 1.32897587629572 1.27247561182182 1.13846219236273 1.12577824636625 1.45887948611814 0.998126739529331 0.932234181121735 1.00018252744851 1.03238362681034
"Drummond_1" 1.39635891119492 1.0559952673425 1.09841711581247 1.12764934020659 0 0.557249102871682 1.19077321220392 0.961878701580285 1.1666118679448 1.04268593739639 1.21739983229631 1.18201907039042 1.11496387923846 1.06920939501264 1.11794221386186 1.21480251121645 1.15262196124817 1.27942765431866 1.15103761812211
"Drummond_2" 1.358974973414 0.976782315969917 1.04497597716761 1.13262811010663 0.557249102871682 0 1.15144173824192 0.995888385623325 1.09737721136395 0.978797930674489 1.13269465932432 1.13639226156081 1.07968872594735 1.097799652286 1.19215095736227 1.11681699821344 1.07054044394755 1.23577255370993 1.1050635674736
"Espanca" 1.27417000443278 1.01195652930992 1.23870158253999 1.13601157159897 1.19077321220392 1.15144173824192 0 1.21456970464361 1.35044922151594 1.31929638277851 1.30366616710393 1.23229472699532 1.0047039123242 1.13664019131757 0.973749859150584 1.11177224603086 1.08831685277096 1.14207781332045 1.15374591420784
"Feijó" 1.12674837684173 0.92253379790068 0.847790334841145 1.22113438211651 0.961878701580285 0.995888385623325 1.21456970464361 0 0.981618112703971 0.98223711124906 0.916277583478532 1.01761150133742 1.10055871846427 1.03312455727837 1.02113316126229 1.23394878805439 1.17068732401065 1.3309772331646 1.2430663283902
"Junqueiro_1" 0.942241747286643 0.848751239527717 0.787854918005461 1.31232715160777 1.1666118679448 1.09737721136395 1.35044922151594 0.981618112703971 0 0.58127892946041 0.819962987109042 0.958420101725019 1.1558811357509 0.906095034204314 1.1686221523162 1.43803536989979 1.25468631426145 1.46949319091907 1.4428337590537
"Junqueiro_2" 1.09809793513994 0.927928716431851 0.855273820961408 1.21972691419099 1.04268593739639 0.978797930674489 1.31929638277851 0.98223711124906 0.58127892946041 0 0.845460960384092 0.906231586318052 1.0746402392461 0.829542749682779 1.18120118397968 1.38307818912923 1.17559630183546 1.35325287146488 1.30598745473553
"Leal_1" 0.965791591622274 0.86356703481045 0.765237995821507 1.32897587629572 1.21739983229631 1.13269465932432 1.30366616710393 0.916277583478532 0.819962987109042 0.845460960384092 0 0.584993129920724 1.02868448627603 0.935287036934977 1.03742666936597 1.45528716465136 1.3730832910257 1.53350714813544 1.50410647606247
